Frequency [Hz] - Fit Points;Amplitude - Fit Points;Frequency [Hz] - Fit Curve;Amplitude - Fit Curve;Frequency [Hz] - Histogram;Amplitude - Histogram
861,716;0;500;0;861,716;39
971,36;0;509,5;0;971,36;30
1081,003;0;519;0;1081,003;17
1190,647;0;528,5;0;1190,647;7
1409,934;0;538;0;1300,29;2
1629,221;0;547,5;0;1409,934;1
4699,24;0,268324;557;0;1519,577;0
4808,883;6,63317;566,5;0;1629,221;1
4918,527;44,3107;576;0;1738,864;0
5028,17;79,9876;585,5;0;1848,508;0
5137,814;39,0178;595;0;1958,151;0
;;604,5;0;2067,795;0
;;614;0;2177,439;0
;;623,5;0;2287,082;0
;;633;0;2396,726;0
;;642,5;0;2506,369;0
;;652;0;2616,013;0
;;661,5;0;2725,656;0
;;671;0;2835,3;0
;;680,5;0;2944,943;0
;;690;0;3054,587;0
;;699,5;0;3164,23;0
;;709;0;3273,874;0
;;718,5;0;3383,517;0
;;728;0;3493,161;0
;;737,5;0;3602,804;0
;;747;0;3712,448;0
;;756,5;0;3822,092;0
;;766;0;3931,735;0
;;775,5;0;4041,379;0
;;785;0;4151,022;0
;;794,5;0;4260,666;0
;;804;0;4370,309;0
;;813,5;0;4479,953;0
;;823;0;4589,596;0
;;832,5;0;4699,24;2
;;842;0;4808,883;8
;;851,5;0;4918,527;48
;;861;0;5028,17;91
;;870,5;0;5137,814;44
;;880;0;;
;;889,5;0;;
;;899;0;;
;;908,5;0;;
;;918;0;;
;;927,5;0;;
;;937;0;;
;;946,5;0;;
;;956;0;;
;;965,5;0;;
;;975;0;;
;;984,5;0;;
;;994;0;;
;;1003,5;0;;
;;1013;0;;
;;1022,5;0;;
;;1032;0;;
;;1041,5;0;;
;;1051;0;;
;;1060,5;0;;
;;1070;0;;
;;1079,5;0;;
;;1089;0;;
;;1098,5;0;;
;;1108;0;;
;;1117,5;0;;
;;1127;0;;
;;1136,5;0;;
;;1146;0;;
;;1155,5;0;;
;;1165;0;;
;;1174,5;0;;
;;1184;0;;
;;1193,5;0;;
;;1203;0;;
;;1212,5;0;;
;;1222;0;;
;;1231,5;0;;
;;1241;0;;
;;1250,5;0;;
;;1260;0;;
;;1269,5;0;;
;;1279;0;;
;;1288,5;0;;
;;1298;0;;
;;1307,5;0;;
;;1317;0;;
;;1326,5;0;;
;;1336;0;;
;;1345,5;0;;
;;1355;0;;
;;1364,5;0;;
;;1374;0;;
;;1383,5;0;;
;;1393;0;;
;;1402,5;0;;
;;1412;0;;
;;1421,5;0;;
;;1431;0;;
;;1440,5;0;;
;;1450;0;;
;;1459,5;0;;
;;1469;0;;
;;1478,5;0;;
;;1488;0;;
;;1497,5;0;;
;;1507;0;;
;;1516,5;0;;
;;1526;0;;
;;1535,5;0;;
;;1545;0;;
;;1554,5;0;;
;;1564;0;;
;;1573,5;0;;
;;1583;0;;
;;1592,5;0;;
;;1602;0;;
;;1611,5;0;;
;;1621;0;;
;;1630,5;0;;
;;1640;0;;
;;1649,5;0;;
;;1659;0;;
;;1668,5;0;;
;;1678;0;;
;;1687,5;0;;
;;1697;0;;
;;1706,5;0;;
;;1716;0;;
;;1725,5;0;;
;;1735;0;;
;;1744,5;0;;
;;1754;0;;
;;1763,5;0;;
;;1773;0;;
;;1782,5;0;;
;;1792;0;;
;;1801,5;0;;
;;1811;0;;
;;1820,5;0;;
;;1830;0;;
;;1839,5;0;;
;;1849;0;;
;;1858,5;0;;
;;1868;0;;
;;1877,5;0;;
;;1887;0;;
;;1896,5;0;;
;;1906;0;;
;;1915,5;0;;
;;1925;0;;
;;1934,5;0;;
;;1944;0;;
;;1953,5;0;;
;;1963;0;;
;;1972,5;0;;
;;1982;0;;
;;1991,5;0;;
;;2001;0;;
;;2010,5;0;;
;;2020;0;;
;;2029,5;0;;
;;2039;0;;
;;2048,5;0;;
;;2058;0;;
;;2067,5;0;;
;;2077;0;;
;;2086,5;0;;
;;2096;0;;
;;2105,5;0;;
;;2115;0;;
;;2124,5;0;;
;;2134;0;;
;;2143,5;0;;
;;2153;0;;
;;2162,5;0;;
;;2172;0;;
;;2181,5;0;;
;;2191;0;;
;;2200,5;0;;
;;2210;0;;
;;2219,5;0;;
;;2229;0;;
;;2238,5;0;;
;;2248;0;;
;;2257,5;0;;
;;2267;0;;
;;2276,5;0;;
;;2286;0;;
;;2295,5;0;;
;;2305;0;;
;;2314,5;0;;
;;2324;0;;
;;2333,5;0;;
;;2343;0;;
;;2352,5;0;;
;;2362;0;;
;;2371,5;0;;
;;2381;0;;
;;2390,5;0;;
;;2400;0;;
;;2409,5;0;;
;;2419;0;;
;;2428,5;0;;
;;2438;0;;
;;2447,5;0;;
;;2457;0;;
;;2466,5;0;;
;;2476;0;;
;;2485,5;0;;
;;2495;0;;
;;2504,5;0;;
;;2514;0;;
;;2523,5;0;;
;;2533;0;;
;;2542,5;0;;
;;2552;0;;
;;2561,5;0;;
;;2571;0;;
;;2580,5;0;;
;;2590;0;;
;;2599,5;0;;
;;2609;0;;
;;2618,5;0;;
;;2628;0;;
;;2637,5;0;;
;;2647;0;;
;;2656,5;0;;
;;2666;0;;
;;2675,5;0;;
;;2685;0;;
;;2694,5;0;;
;;2704;0;;
;;2713,5;0;;
;;2723;0;;
;;2732,5;0;;
;;2742;0;;
;;2751,5;0;;
;;2761;0;;
;;2770,5;0;;
;;2780;0;;
;;2789,5;0;;
;;2799;0;;
;;2808,5;0;;
;;2818;0;;
;;2827,5;0;;
;;2837;0;;
;;2846,5;0;;
;;2856;0;;
;;2865,5;0;;
;;2875;0;;
;;2884,5;0;;
;;2894;0;;
;;2903,5;0;;
;;2913;0;;
;;2922,5;0;;
;;2932;0;;
;;2941,5;0;;
;;2951;0;;
;;2960,5;0;;
;;2970;0;;
;;2979,5;0;;
;;2989;0;;
;;2998,5;0;;
;;3008;0;;
;;3017,5;0;;
;;3027;0;;
;;3036,5;0;;
;;3046;0;;
;;3055,5;0;;
;;3065;0;;
;;3074,5;0;;
;;3084;0;;
;;3093,5;0;;
;;3103;0;;
;;3112,5;0;;
;;3122;0;;
;;3131,5;0;;
