Frequency [Hz] - Fit Points;Amplitude - Fit Points;Frequency [Hz] - Fit Curve;Amplitude - Fit Curve;Frequency [Hz] - Histogram;Amplitude - Histogram
887,308;2,10303E-18;500;2,75639E-27;887,308;2
966,912;8,64903E-17;509,5;4,77131E-27;966,912;1
1285,327;4,70174E-11;519;8,23962E-27;1046,516;0
1683,347;1,65451E-05;528,5;1,41955E-26;1126,12;0
1762,951;0,000129298;538;2,43986E-26;1205,724;0
1842,554;0,000855845;547,5;4,18364E-26;1285,327;1
2001,762;0,0227845;557;7,15674E-26;1364,931;0
2081,366;0,0916393;566,5;1,22138E-25;1444,535;0
2160,97;0,312179;576;2,07949E-25;1524,139;0
2240,574;0,900753;585,5;3,53213E-25;1603,743;0
2320,178;2,20134;595;5,98535E-25;1683,347;1
2399,782;4,55669;604,5;1,01185E-24;1762,951;1
2479,385;7,98897;614;1,70653E-24;1842,554;1
2558,989;11,8635;623,5;2,87134E-24;1922,158;0
2638,593;14,9216;633;4,81979E-24;2001,762;5
2718,197;15,8963;642,5;8,07134E-24;2081,366;11
2797,801;14,3436;652;1,34845E-23;2160,97;3
2877,405;10,9622;661,5;2,24749E-23;2240,574;1
2957,009;7,09611;671;3,73709E-23;2320,178;6
3195,82;0,710664;680,5;6,19928E-23;2399,782;38
3355,028;0,0668078;690;1,02594E-22;2479,385;57
3593,839;0,000554204;699,5;1,69386E-22;2558,989;13
3673,443;8,04843E-05;709;2,79E-22;2638,593;14
3753,047;9,89992E-06;718,5;4,58462E-22;2718,197;48
3991,859;6,80259E-09;728;7,51581E-22;2797,801;112
;;737,5;1,2292E-21;2877,405;49
;;747;2,00558E-21;2957,009;5
;;756,5;3,26461E-21;3036,612;1
;;766;5,30145E-21;3116,216;0
;;775,5;8,58878E-21;3195,82;2
;;785;1,38816E-20;3275,424;0
;;794,5;2,23833E-20;3355,028;1
;;804;3,60063E-20;3434,632;1
;;813,5;5,77839E-20;3514,236;1
;;823;9,25141E-20;3593,839;2
;;832,5;1,47769E-19;3673,443;2
;;842;2,35466E-19;3753,047;2
;;851,5;3,74325E-19;3832,651;2
;;861;5,93664E-19;3912,255;0
;;870,5;9,39304E-19;3991,859;1
;;880;1,48267E-18;;
;;889,5;2,33483E-18;;
;;899;3,66808E-18;;
;;908,5;5,74904E-18;;
;;918;8,98928E-18;;
;;927,5;1,40226E-17;;
;;937;2,18224E-17;;
;;946,5;3,38806E-17;;
;;956;5,24773E-17;;
;;965,5;8,10896E-17;;
;;975;1,25006E-16;;
;;984,5;1,92252E-16;;
;;994;2,94974E-16;;
;;1003,5;4,51511E-16;;
;;1013;6,89488E-16;;
;;1022,5;1,05041E-15;;
;;1032;1,59647E-15;;
;;1041,5;2,42068E-15;;
;;1051;3,66174E-15;;
;;1060,5;5,52598E-15;;
;;1070;8,31964E-15;;
;;1079,5;1,2496E-14;;
;;1089;1,87246E-14;;
;;1098,5;2,79915E-14;;
;;1108;4,17458E-14;;
;;1117,5;6,21115E-14;;
;;1127;9,21944E-14;;
;;1136,5;1,36524E-13;;
;;1146;2,01691E-13;;
;;1155,5;2,97261E-13;;
;;1165;4,37081E-13;;
;;1174,5;6,41148E-13;;
;;1184;9,38269E-13;;
;;1193,5;1,36984E-12;;
;;1203;1,99519E-12;;
;;1212,5;2,89916E-12;;
;;1222;4,20274E-12;;
;;1231,5;6,07808E-12;;
;;1241;8,76945E-12;;
;;1250,5;1,26227E-11;;
;;1260;1,81261E-11;;
;;1269,5;2,59674E-11;;
;;1279;3,7113E-11;;
;;1288,5;5,29172E-11;;
;;1298;7,52731E-11;;
;;1307,5;1,06821E-10;;
;;1317;1,51233E-10;;
;;1326,5;2,13603E-10;;
;;1336;3,00983E-10;;
;;1345,5;4,23107E-10;;
;;1355;5,93376E-10;;
;;1364,5;8,30202E-10;;
;;1374;1,1588E-09;;
;;1383,5;1,61365E-09;;
;;1393;2,24172E-09;;
;;1402,5;3,10689E-09;;
;;1412;4,29579E-09;;
;;1421,5;5,92561E-09;;
;;1431;8,15449E-09;;
;;1440,5;1,11952E-08;;
;;1450;1,53335E-08;;
;;1459,5;2,09519E-08;;
;;1469;2,85613E-08;;
;;1478,5;3,88424E-08;;
;;1488;5,26994E-08;;
;;1497,5;7,13312E-08;;
;;1507;9,6322E-08;;
;;1516,5;1,29761E-07;;
