Frequency [Hz] - Fit Points;Amplitude - Fit Points;Frequency [Hz] - Fit Curve;Amplitude - Fit Curve;Frequency [Hz] - Histogram;Amplitude - Histogram
1836,74;0,4646;500;1,51377E-21;1836,74;2
1862,985;0,67252;509,5;2,57526E-21;1862,985;6
1915,475;1,32143;519;4,3688E-21;1889,23;0
1941,72;1,79372;528,5;7,39067E-21;1915,475;1
1967,966;2,38321;538;1,24677E-20;1941,72;4
1994,211;3,09931;547,5;2,09735E-20;1967,966;5
2020,456;3,94514;557;3,51832E-20;1994,211;7
2046,701;4,91537;566,5;5,88547E-20;2020,456;3
2099,191;7,15531;576;9,81764E-20;2046,701;5
2125,436;8,36002;585,5;1,63311E-19;2072,946;0
2151,681;9,56053;595;2,70896E-19;2099,191;6
2177,927;10,7017;604,5;4,48096E-19;2125,436;5
2204,172;11,7251;614;7,39131E-19;2151,681;18
2230,417;12,5741;623,5;1,21577E-18;2177,927;10
2256,662;13,1988;633;1,99418E-18;2204,172;13
2282,907;13,5608;642,5;3,26179E-18;2230,417;10
2309,152;13,6374;652;5,32022E-18;2256,662;18
2335,397;13,4237;661,5;8,65333E-18;2282,907;14
2361,642;12,9333;671;1,40352E-17;2309,152;21
2387,887;12,1967;680,5;2,27004E-17;2335,397;10
2414,133;11,2582;690;3,66127E-17;2361,642;14
2440,378;10,1717;699,5;5,88856E-17;2387,887;15
2466,623;8,99521;709;9,44425E-17;2414,133;18
2492,868;7,78619;718,5;1,51045E-16;2440,378;13
2519,113;6,59681;728;2,40894E-16;2466,623;10
2545,358;5,47064;737,5;3,83114E-16;2492,868;14
2571,603;4,44056;747;6,07589E-16;2519,113;6
2597,848;3,52804;756,5;9,60888E-16;2545,358;5
2624,094;2,74362;766;1,51536E-15;2571,603;3
2650,339;2,08838;775,5;2,38309E-15;2597,848;3
2676,584;1,55593;785;3,7372E-15;2624,094;4
2702,829;1,13466;794,5;5,8443E-15;2650,339;2
2729,074;0,809912;804;9,11381E-15;2676,584;2
2860,3;0,108824;813,5;1,41725E-14;2702,829;5
;;823;2,19774E-14;2729,074;1
;;832,5;3,39849E-14;2755,319;0
;;842;5,24055E-14;2781,564;0
;;851,5;8,05839E-14;2807,809;0
;;861;1,23567E-13;2834,054;0
;;870,5;1,88944E-13;2860,3;3
;;880;2,88103E-13;;
;;889,5;4,3807E-13;;
;;899;6,64231E-13;;
;;908,5;1,00433E-12;;
;;918;1,5143E-12;;
;;927,5;2,27683E-12;;
;;937;3,41374E-12;;
;;946,5;5,104E-12;;
;;956;7,60977E-12;;
;;965,5;1,13139E-11;;
;;975;1,6774E-11;;
;;984,5;2,47993E-11;;
;;994;3,65615E-11;;
;;1003,5;5,37514E-11;;
;;1013;7,88018E-11;;
;;1022,5;1,15203E-10;;
;;1032;1,67946E-10;;
;;1041,5;2,44152E-10;;
;;1051;3,5394E-10;;
;;1060,5;5,11658E-10;;
;;1070;7,37584E-10;;
;;1079,5;1,06029E-09;;
;;1089;1,51991E-09;;
;;1098,5;2,17265E-09;;
;;1108;3,09703E-09;;
;;1117,5;4,40232E-09;;
;;1127;6,24019E-09;;
;;1136,5;8,82054E-09;;
;;1146;1,24329E-08;;
;;1155,5;1,74756E-08;;
;;1165;2,44947E-08;;
;;1174,5;3,42368E-08;;
;;1184;4,77195E-08;;
;;1193,5;6,63251E-08;;
;;1203;9,19267E-08;;
;;1212,5;1,27053E-07;;
;;1222;1,7511E-07;;
;;1231,5;2,40667E-07;;
;;1241;3,29841E-07;;
;;1250,5;4,50788E-07;;
;;1260;6,14357E-07;;
;;1269,5;8,34931E-07;;
;;1279;1,13152E-06;;
;;1288,5;1,52916E-06;;
;;1298;2,06075E-06;;
;;1307,5;2,76935E-06;;
;;1317;3,71117E-06;;
;;1326,5;4,95936E-06;;
;;1336;6,60878E-06;;
;;1345,5;8,78209E-06;;
;;1355;1,16374E-05;;
;;1364,5;1,53778E-05;;
;;1374;2,02634E-05;;
;;1383,5;2,66264E-05;;
;;1393;3,48894E-05;;
;;1402,5;4,55885E-05;;
;;1412;5,94015E-05;;
;;1421,5;7,71829E-05;;
;;1431;0,000100006;;
;;1440,5;0,000129214;;
;;1450;0,000166486;;
;;1459,5;0,000213906;;
;;1469;0,000274064;;
;;1478,5;0,000350155;;
;;1488;0,000446118;;
;;1497,5;0,000566787;;
;;1507;0,000718077;;
;;1516,5;0,0009072;;
;;1526;0,00114292;;
;;1535,5;0,00143585;;
;;1545;0,00179881;;
;;1554,5;0,00224719;;
;;1564;0,00279947;;
;;1573,5;0,00347771;;
;;1583;0,00430816;;
;;1592,5;0,00532195;;
;;1602;0,00655587;;
;;1611,5;0,00805325;;
;;1621;0,00986491;;
;;1630,5;0,0120502;;
;;1640;0,0146784;;
;;1649,5;0,0178297;;
;;1659;0,0215967;;
;;1668,5;0,0260864;;
;;1678;0,0314211;;
;;1687,5;0,0377406;;
;;1697;0,045204;;
;;1706,5;0,0539916;;
;;1716;0,0643068;;
;;1725,5;0,0763779;;
;;1735;0,0904606;;
;;1744,5;0,10684;;
;;1754;0,125831;;
;;1763,5;0,147782;;
;;1773;0,173076;;
;;1782,5;0,202131;;
;;1792;0,235402;;
;;1801,5;0,273381;;
;;1811;0,316597;;
;;1820,5;0,365617;;
;;1830;0,421044;;
;;1839,5;0,483514;;
;;1849;0,553696;;
;;1858,5;0,632287;;
;;1868;0,72001;;
;;1877,5;0,817605;;
;;1887;0,925826;;
;;1896,5;1,04543;;
;;1906;1,17718;;
;;1915,5;1,32182;;
;;1925;1,48007;;
;;1934,5;1,65261;;
;;1944;1,8401;;
;;1953,5;2,04312;;
;;1963;2,26218;;
;;1972,5;2,4977;;
;;1982;2,75002;;
;;1991,5;3,01933;;
;;2001;3,30573;;
;;2010,5;3,60914;;
;;2020;3,92936;;
;;2029,5;4,266;;
;;2039;4,61849;;
;;2048,5;4,9861;;
;;2058;5,36788;;
;;2067,5;5,76268;;
;;2077;6,16919;;
;;2086,5;6,58585;;
;;2096;7,01095;;
;;2105,5;7,44256;;
;;2115;7,8786;;
;;2124,5;8,31681;;
;;2134;8,75478;;
;;2143,5;9,18997;;
;;2153;9,61976;;
;;2162,5;10,0414;;
;;2172;10,4522;;
;;2181,5;10,8493;;
;;2191;11,2298;;
;;2200,5;11,5912;;
;;2210;11,9306;;
;;2219,5;12,2456;;
;;2229;12,5336;;
;;2238,5;12,7925;;
;;2248;13,0201;;
;;2257,5;13,2145;;
;;2267;13,3744;;
;;2276,5;13,4981;;
;;2286;13,5849;;
;;2295,5;13,6339;;
;;2305;13,6447;;
;;2314,5;13,6172;;
;;2324;13,5517;;
;;2333,5;13,4487;;
;;2343;13,3091;;
;;2352,5;13,134;;
;;2362;12,9248;;
;;2371,5;12,6834;;
;;2381;12,4116;;
;;2390,5;12,1115;;
;;2400;11,7856;;
;;2409,5;11,4363;;
;;2419;11,0662;;
;;2428,5;10,6781;;
;;2438;10,2747;;
;;2447,5;9,85885;;
;;2457;9,43331;;
;;2466,5;9,00083;;
;;2476;8,56411;;
;;2485,5;8,12573;;
;;2495;7,68819;;
;;2504,5;7,25381;;
;;2514;6,82479;;
;;2523,5;6,40314;;
;;2533;5,9907;;
;;2542,5;5,58912;;
;;2552;5,19983;;
;;2561,5;4,82411;;
;;2571;4,46298;;
;;2580,5;4,11731;;
;;2590;3,78777;;
;;2599,5;3,47484;;
;;2609;3,17882;;
;;2618,5;2,89987;;
;;2628;2,63798;;
;;2637,5;2,39302;;
;;2647;2,16472;;
;;2656,5;1,95271;;
;;2666;1,75653;;
;;2675,5;1,57562;;
;;2685;1,40939;;
;;2694,5;1,25716;;
;;2704;1,11823;;
;;2713,5;0,991863;;
;;2723;0,877311;;
;;2732,5;0,773814;;
;;2742;0,680613;;
;;2751,5;0,59696;;
;;2761;0,52212;;
;;2770,5;0,455383;;
;;2780;0,396063;;
;;2789,5;0,343504;;
;;2799;0,297085;;
;;2808,5;0,256219;;
;;2818;0,220354;;
;;2827,5;0,188979;;
;;2837;0,161616;;
;;2846,5;0,137828;;
;;2856;0,117212;;
;;2865,5;0,0994004;;
;;2875;0,0840589;;
;;2884,5;0,070886;;
;;2894;0,0596099;;
;;2903,5;0,0499869;;
;;2913;0,0418;;
;;2922,5;0,0348559;;
;;2932;0,0289839;;
;;2941,5;0,0240336;;
;;2951;0,0198729;;
;;2960,5;0,0163865;;
;;2970;0,0134738;;
;;2979,5;0,0110478;;
;;2989;0,00903321;;
;;2998,5;0,00736528;;
;;3008;0,00598849;;
;;3017,5;0,00485541;;
;;3027;0,00392569;;
;;3036,5;0,00316509;;
;;3046;0,00254471;;
;;3055,5;0,00204019;;
;;3065;0,00163111;;
;;3074,5;0,0013004;;
;;3084;0,00103384;;
;;3093,5;0,000819611;;
;;3103;0,000647955;;
;;3112,5;0,000510813;;
;;3122;0,000401569;;
;;3131,5;0,000314804;;
;;3141;0,000246093;;
;;3150,5;0,000191841;;
;;3160;0,000149129;;
;;3169,5;0,000115602;;
;;3179;8,93612E-05;;
;;3188,5;6,88832E-05;;
;;3198;5,29491E-05;;
;;3207,5;4,05868E-05;;
;;3217;3,10236E-05;;
;;3226,5;2,36472E-05;;
;;3236;1,79742E-05;;
;;3245,5;1,36238E-05;;
;;3255;1,02974E-05;;
;;3264,5;7,7614E-06;;
;;3274;5,83355E-06;;
;;3283,5;4,37226E-06;;
;;3293;3,26783E-06;;
;;3302,5;2,43554E-06;;
;;3312;1,81013E-06;;
;;3321,5;1,34155E-06;;
;;3331;9,91481E-07;;
;;3340,5;7,30706E-07;;
;;3350;5,37009E-07;;
;;3359,5;3,93552E-07;;
;;3369;2,87609E-07;;
;;3378,5;2,09597E-07;;
;;3388;1,52317E-07;;
;;3397,5;1,1038E-07;;
;;3407;7,97655E-08;;
;;3416,5;5,74804E-08;;
;;3426;4,13053E-08;;
;;3435,5;2,95987E-08;;
;;3445;2,11505E-08;;
;;3454,5;1,50713E-08;;
;;3464;1,07093E-08;;
;;3473,5;7,58839E-09;;
;;3483;5,36193E-09;;
;;3492,5;3,7781E-09;;
;;3502;2,65464E-09;;
;;3511,5;1,86003E-09;;
;;3521;1,29962E-09;;
;;3530,5;9,05504E-10;;
;;3540;6,29139E-10;;
;;3549,5;4,35897E-10;;
;;3559;3,01164E-10;;
;;3568,5;2,07492E-10;;
;;3578;1,42555E-10;;
;;3587,5;9,76657E-11;;
;;3597;6,67243E-11;;
;;3606,5;4,54576E-11;;
;;3616;3,08823E-11;;
;;3625,5;2,09216E-11;;
;;3635;1,41338E-11;;
;;3644,5;9,5215E-12;;
;;3654;6,39635E-12;;
;;3663,5;4,28489E-12;;
;;3673;2,86239E-12;;
;;3682,5;1,90677E-12;;
;;3692;1,26663E-12;;
;;3701,5;8,39034E-13;;
;;3711;5,54232E-13;;
;;3720,5;3,65077E-13;;
;;3730;2,39805E-13;;
;;3739,5;1,57077E-13;;
;;3749;1,026E-13;;
;;3758,5;6,6829E-14;;
;;3768;4,34072E-14;;
;;3777,5;2,81151E-14;;
;;3787;1,81593E-14;;
;;3796,5;1,1696E-14;;
;;3806;7,51207E-15;;
;;3815,5;4,81129E-15;;
;;3825;3,07287E-15;;
;;3834,5;1,95707E-15;;
;;3844;1,24294E-15;;
;;3853,5;7,87184E-16;;
;;3863;4,97144E-16;;
;;3872,5;3,1309E-16;;
;;3882;1,96624E-16;;
;;3891,5;1,23136E-16;;
;;3901;7,6898E-17;;
;;3910,5;4,78878E-17;;
;;3920;2,97383E-17;;
;;3929,5;1,84157E-17;;
;;3939;1,13721E-17;;
;;3948,5;7,00285E-18;;
;;3958;4,30021E-18;;
;;3967,5;2,63321E-18;;
;;3977;1,60791E-18;;
;;3986,5;9,7908E-19;;
;;3996;5,94506E-19;;
;;4005,5;3,59977E-19;;
;;4015;2,17358E-19;;
;;4024,5;1,30875E-19;;
;;4034;7,85809E-20;;
;;4043,5;4,705E-20;;
;;4053;2,8092E-20;;
;;4062,5;1,67258E-20;;
;;4072;9,93051E-21;;
;;4081,5;5,87946E-21;;
;;4091;3,47124E-21;;
;;4100,5;2,04367E-21;;
;;4110;1,19983E-21;;
;;4119,5;7,0244E-22;;
;;4129;4,1009E-22;;
;;4138,5;2,38743E-22;;
;;4148;1,386E-22;;
;;4157,5;8,02371E-23;;
;;4167;4,632E-23;;
;;4176,5;2,66651E-23;;
;;4186;1,53073E-23;;
;;4195,5;8,76264E-24;;
;;4205;5,0021E-24;;
;;4214,5;2,84741E-24;;
;;4224;1,61633E-24;;
;;4233,5;9,14932E-25;;
;;4243;5,16451E-25;;
;;4252,5;2,90704E-25;;
;;4262;1,63175E-25;;
;;4271,5;9,13347E-26;;
;;4281;5,098E-26;;
;;4290,5;2,83756E-26;;
;;4300;1,57496E-26;;
;;4309,5;8,7172E-27;;
;;4319;4,81133E-27;;
;;4328,5;2,64809E-27;;
;;4338;1,45339E-27;;
;;4347,5;7,95449E-28;;
;;4357;4,34133E-28;;
;;4366,5;2,36274E-28;;
;;4376;1,28229E-28;;
;;4385,5;6,93971E-29;;
;;4395;3,74521E-29;;
;;4404,5;2,01554E-29;;
;;4414;1,08165E-29;;
;;4423,5;5,78847E-30;;
;;4433;3,08903E-30;;
;;4442,5;1,64384E-30;;
;;4452;8,72329E-31;;
;;4461,5;4,61616E-31;;
;;4471;2,43591E-31;;
;;4480,5;1,28181E-31;;
;;4490;6,72616E-32;;
;;4499,5;3,51958E-32;;
;;4509;1,83652E-32;;
;;4518,5;9,55612E-33;;
;;4528;4,95848E-33;;
;;4537,5;2,56564E-33;;
;;4547;1,3238E-33;;
;;4556,5;6,81135E-34;;
;;4566;3,49481E-34;;
;;4575,5;1,78811E-34;;
;;4585;9,12317E-35;;
;;4594,5;4,64171E-35;;
;;4604;2,355E-35;;
;;4613,5;1,19148E-35;;
;;4623;6,0112E-36;;
;;4632,5;3,02425E-36;;
;;4642;1,51724E-36;;
;;4651,5;7,59053E-37;;
;;4661;3,78678E-37;;
;;4670,5;1,88387E-37;;
;;4680;9,34567E-38;;
;;4689,5;4,62329E-38;;
;;4699;2,28073E-38;;
;;4708,5;1,12196E-38;;
;;4718;5,50377E-39;;
;;4727,5;2,69231E-39;;
;;4737;1,31332E-39;;
;;4746,5;6,38848E-40;;
;;4756;3,09888E-40;;
;;4765,5;1,49897E-40;;
;;4775;7,23039E-41;;
;;4784,5;3,47786E-41;;
;;4794;1,66818E-41;;
;;4803,5;7,9791E-42;;
;;4813;3,8058E-42;;
;;4822,5;1,81017E-42;;
;;4832;8,58567E-43;;
;;4841,5;4,06078E-43;;
;;4851;1,91525E-43;;
;;4860,5;9,00787E-44;;
;;4870;4,22474E-44;;
;;4879,5;1,97587E-44;;
;;4889;9,21505E-45;;
;;4898,5;4,28566E-45;;
;;4908;1,98755E-45;;
;;4917,5;9,19181E-46;;
;;4927;4,23901E-46;;
;;4936,5;1,94943E-46;;
;;4946;8,93989E-47;;
;;4955,5;4,08825E-47;;
;;4965;1,86434E-47;;
;;4974,5;8,47796E-48;;
;;4984;3,8445E-48;;
;;4993,5;1,73847E-48;;
;;5003;7,83932E-49;;
;;5012,5;3,52508E-49;;
;;5022;1,58067E-49;;
;;5031,5;7,06794E-50;;
;;5041;3,15156E-50;;
;;5050,5;1,40133E-50;;
;;5060;6,21349E-51;;
;;5069,5;2,74733E-51;;
;;5079;1,21135E-51;;
;;5088,5;5,32605E-52;;
;;5098;2,3352E-52;;
