Frequency [Hz] - Fit Points;Amplitude - Fit Points;Frequency [Hz] - Fit Curve;Amplitude - Fit Curve;Frequency [Hz] - Histogram;Amplitude - Histogram
2610,532;5,20268E-18;500;0;2610,532;1
2827,118;1,36408E-12;509,5;0;2653,849;0
3000,388;6,38079E-09;519;0;2697,167;0
3130,339;1,47764E-06;528,5;0;2740,484;0
3216,974;3,64208E-05;538;0;2783,801;0
3476,878;0,0708306;547,5;0;2827,118;1
3563,512;0,447734;557;0;2870,436;0
3606,83;0,990866;566,5;0;2913,753;0
3650,147;2,01407;576;0;2957,07;0
3693,464;3,76007;585,5;0;3000,388;1
3736,781;6,44736;595;0;3043,705;0
3780,099;10,1539;604,5;0;3087,022;0
3823,416;14,6874;614;0;3130,339;1
3866,733;19,5129;623,5;0;3173,657;0
3910,051;23,8102;633;0;3216,974;1
3953,368;26,685;642,5;0;3260,291;0
3996,685;27,4685;652;0;3303,609;0
4040,002;25,9696;661,5;0;3346,926;0
4083,32;22,5508;671;0;3390,243;0
4126,637;17,9854;680,5;0;3433,56;0
4169,954;13,1747;690;0;3476,878;1
4213,272;8,86397;699,5;0;3520,195;0
4256,589;5,47744;709;0;3563,512;2
4299,906;3,10879;718,5;0;3606,83;2
;;728;0;3650,147;1
;;737,5;0;3693,464;4
;;747;0;3736,781;7
;;756,5;0;3780,099;18
;;766;0;3823,416;25
;;775,5;0;3866,733;21
;;785;0;3910,051;28
;;794,5;0;3953,368;35
;;804;0;3996,685;39
;;813,5;0;4040,002;34
;;823;0;4083,32;39
;;832,5;0;4126,637;17
;;842;0;4169,954;14
;;851,5;0;4213,272;14
;;861;0;4256,589;6
;;870,5;0;4299,906;5
;;880;0;;
;;889,5;0;;
;;899;0;;
;;908,5;0;;
;;918;0;;
;;927,5;0;;
;;937;0;;
;;946,5;0;;
;;956;0;;
;;965,5;0;;
;;975;0;;
;;984,5;0;;
;;994;0;;
;;1003,5;0;;
;;1013;0;;
;;1022,5;0;;
;;1032;0;;
;;1041,5;0;;
;;1051;0;;
;;1060,5;0;;
;;1070;0;;
;;1079,5;0;;
;;1089;0;;
;;1098,5;0;;
;;1108;0;;
;;1117,5;0;;
;;1127;0;;
;;1136,5;0;;
;;1146;0;;
;;1155,5;0;;
;;1165;0;;
;;1174,5;0;;
;;1184;0;;
;;1193,5;0;;
;;1203;0;;
;;1212,5;0;;
;;1222;0;;
;;1231,5;0;;
;;1241;0;;
;;1250,5;0;;
;;1260;0;;
;;1269,5;0;;
;;1279;0;;
;;1288,5;0;;
;;1298;0;;
;;1307,5;0;;
;;1317;0;;
;;1326,5;0;;
;;1336;0;;
;;1345,5;0;;
;;1355;0;;
;;1364,5;0;;
;;1374;0;;
;;1383,5;0;;
;;1393;0;;
;;1402,5;0;;
;;1412;0;;
;;1421,5;0;;
;;1431;1E-63;;
;;1440,5;3E-63;;
;;1450;9E-63;;
;;1459,5;2,7E-62;;
;;1469;7,9E-62;;
;;1478,5;2,34E-61;;
;;1488;6,88E-61;;
;;1497,5;2,015E-60;;
;;1507;5,881E-60;;
;;1516,5;1,7094E-59;;
;;1526;4,9484E-59;;
;;1535,5;1,42663E-58;;
;;1545;4,09624E-58;;
;;1554,5;1,17134E-57;;
;;1564;3,33583E-57;;
;;1573,5;9,46124E-57;;
;;1583;2,67249E-56;;
;;1592,5;7,51807E-56;;
;;1602;2,1063E-55;;
;;1611,5;5,87705E-55;;
;;1621;1,63313E-54;;
;;1630,5;4,51966E-54;;
;;1640;1,2457E-53;;
;;1649,5;3,41936E-53;;
;;1659;9,34761E-53;;
;;1668,5;2,54495E-52;;
;;1678;6,90051E-52;;
;;1687,5;1,8634E-51;;
;;1697;5,01136E-51;;
;;1706,5;1,34223E-50;;
;;1716;3,58034E-50;;
;;1725,5;9,51137E-50;;
;;1735;2,51644E-49;;
;;1744,5;6,63059E-49;;
;;1754;1,73997E-48;;
;;1763,5;4,54731E-48;;
;;1773;1,18356E-47;;
;;1782,5;3,06797E-47;;
;;1792;7,92017E-47;;
;;1801,5;2,0363E-46;;
;;1811;5,21401E-46;;
;;1820,5;1,32961E-45;;
;;1830;3,37678E-45;;
;;1839,5;8,54089E-45;;
;;1849;2,15143E-44;;
;;1858,5;5,39728E-44;;
;;1868;1,34848E-43;;
