Frequency [Hz] - Fit Points;Amplitude - Fit Points;Frequency [Hz] - Fit Curve;Amplitude - Fit Curve;Frequency [Hz] - Histogram;Amplitude - Histogram
861,779;0;500;0;861,779;31
967,853;0;509,5;0;967,853;1
4362,207;0,105183;519;0;1073,926;0
4468,28;3,01604;528,5;0;1180;0
4574,354;28,6529;538;0;1286,073;0
4680,428;90,1872;547,5;0;1392,147;0
4786,501;94,051;557;0;1498,22;0
4892,575;32,4956;566,5;0;1604,294;0
4998,648;3,71989;576;0;1710,368;0
;;585,5;0;1816,441;0
;;595;0;1922,515;0
;;604,5;0;2028,588;0
;;614;0;2134,662;0
;;623,5;0;2240,735;0
;;633;0;2346,809;0
;;642,5;0;2452,883;0
;;652;0;2558,956;0
;;661,5;0;2665,03;0
;;671;0;2771,103;0
;;680,5;0;2877,177;0
;;690;0;2983,25;0
;;699,5;0;3089,324;0
;;709;0;3195,398;0
;;718,5;0;3301,471;0
;;728;0;3407,545;0
;;737,5;0;3513,618;0
;;747;0;3619,692;0
;;756,5;0;3725,765;0
;;766;0;3831,839;0
;;775,5;0;3937,913;0
;;785;0;4043,986;0
;;794,5;0;4150,06;0
;;804;0;4256,133;0
;;813,5;0;4362,207;3
;;823;0;4468,28;11
;;832,5;0;4574,354;30
;;842;0;4680,428;88
;;851,5;0;4786,501;122
;;861;0;4892,575;35
;;870,5;0;4998,648;2
;;880;0;;
;;889,5;0;;
;;899;0;;
;;908,5;0;;
;;918;0;;
;;927,5;0;;
;;937;0;;
;;946,5;0;;
;;956;0;;
;;965,5;0;;
;;975;0;;
;;984,5;0;;
;;994;0;;
;;1003,5;0;;
;;1013;0;;
;;1022,5;0;;
;;1032;0;;
;;1041,5;0;;
;;1051;0;;
;;1060,5;0;;
;;1070;0;;
;;1079,5;0;;
;;1089;0;;
;;1098,5;0;;
;;1108;0;;
;;1117,5;0;;
;;1127;0;;
;;1136,5;0;;
;;1146;0;;
;;1155,5;0;;
;;1165;0;;
;;1174,5;0;;
;;1184;0;;
;;1193,5;0;;
;;1203;0;;
;;1212,5;0;;
;;1222;0;;
;;1231,5;0;;
;;1241;0;;
;;1250,5;0;;
;;1260;0;;
;;1269,5;0;;
;;1279;0;;
;;1288,5;0;;
;;1298;0;;
;;1307,5;0;;
;;1317;0;;
;;1326,5;0;;
;;1336;0;;
;;1345,5;0;;
;;1355;0;;
;;1364,5;0;;
;;1374;0;;
;;1383,5;0;;
;;1393;0;;
;;1402,5;0;;
;;1412;0;;
;;1421,5;0;;
;;1431;0;;
;;1440,5;0;;
;;1450;0;;
;;1459,5;0;;
;;1469;0;;
;;1478,5;0;;
;;1488;0;;
;;1497,5;0;;
;;1507;0;;
;;1516,5;0;;
;;1526;0;;
;;1535,5;0;;
;;1545;0;;
;;1554,5;0;;
;;1564;0;;
;;1573,5;0;;
;;1583;0;;
;;1592,5;0;;
;;1602;0;;
;;1611,5;0;;
;;1621;0;;
;;1630,5;0;;
;;1640;0;;
;;1649,5;0;;
;;1659;0;;
;;1668,5;0;;
;;1678;0;;
;;1687,5;0;;
;;1697;0;;
;;1706,5;0;;
;;1716;0;;
;;1725,5;0;;
;;1735;0;;
;;1744,5;0;;
;;1754;0;;
;;1763,5;0;;
;;1773;0;;
;;1782,5;0;;
;;1792;0;;
;;1801,5;0;;
;;1811;0;;
;;1820,5;0;;
;;1830;0;;
;;1839,5;0;;
;;1849;0;;
;;1858,5;0;;
;;1868;0;;
;;1877,5;0;;
;;1887;0;;
;;1896,5;0;;
;;1906;0;;
;;1915,5;0;;
;;1925;0;;
;;1934,5;0;;
;;1944;0;;
;;1953,5;0;;
;;1963;0;;
;;1972,5;0;;
;;1982;0;;
;;1991,5;0;;
;;2001;0;;
;;2010,5;0;;
;;2020;0;;
;;2029,5;0;;
;;2039;0;;
;;2048,5;0;;
;;2058;0;;
;;2067,5;0;;
;;2077;0;;
;;2086,5;0;;
;;2096;0;;
;;2105,5;0;;
;;2115;0;;
;;2124,5;0;;
;;2134;0;;
;;2143,5;0;;
;;2153;0;;
;;2162,5;0;;
;;2172;0;;
;;2181,5;0;;
;;2191;0;;
;;2200,5;0;;
;;2210;0;;
;;2219,5;0;;
;;2229;0;;
;;2238,5;0;;
;;2248;0;;
;;2257,5;0;;
;;2267;0;;
;;2276,5;0;;
;;2286;0;;
;;2295,5;0;;
;;2305;0;;
;;2314,5;0;;
;;2324;0;;
;;2333,5;0;;
;;2343;0;;
;;2352,5;0;;
;;2362;0;;
;;2371,5;0;;
;;2381;0;;
;;2390,5;0;;
;;2400;0;;
;;2409,5;0;;
;;2419;0;;
;;2428,5;0;;
;;2438;0;;
;;2447,5;0;;
;;2457;0;;
;;2466,5;0;;
;;2476;0;;
;;2485,5;0;;
;;2495;0;;
;;2504,5;0;;
;;2514;0;;
;;2523,5;0;;
;;2533;0;;
;;2542,5;0;;
;;2552;0;;
;;2561,5;0;;
;;2571;0;;
;;2580,5;0;;
;;2590;0;;
;;2599,5;0;;
;;2609;0;;
;;2618,5;0;;
;;2628;0;;
;;2637,5;0;;
;;2647;0;;
;;2656,5;0;;
;;2666;0;;
;;2675,5;0;;
;;2685;0;;
;;2694,5;0;;
;;2704;0;;
;;2713,5;0;;
;;2723;0;;
;;2732,5;0;;
;;2742;0;;
;;2751,5;0;;
;;2761;0;;
;;2770,5;0;;
;;2780;0;;
;;2789,5;0;;
;;2799;0;;
;;2808,5;0;;
;;2818;0;;
;;2827,5;0;;
;;2837;0;;
;;2846,5;0;;
;;2856;0;;
;;2865,5;0;;
;;2875;0;;
;;2884,5;0;;
;;2894;0;;
;;2903,5;0;;
;;2913;0;;
;;2922,5;0;;
;;2932;0;;
;;2941,5;0;;
;;2951;0;;
;;2960,5;0;;
;;2970;0;;
;;2979,5;0;;
;;2989;1E-63;;
;;2998,5;4E-63;;
;;3008;1,8E-62;;
;;3017,5;9E-62;;
;;3027;4,45E-61;;
;;3036,5;2,184E-60;;
;;3046;1,0626E-59;;
;;3055,5;5,1242E-59;;
;;3065;2,4492E-58;;
;;3074,5;1,16032E-57;;
;;3084;5,44857E-57;;
;;3093,5;2,53594E-56;;
;;3103;1,1699E-55;;
;;3112,5;5,34943E-55;;
;;3122;2,42449E-54;;
;;3131,5;1,08914E-53;;
;;3141;4,84953E-53;;
;;3150,5;2,14026E-52;;
;;3160;9,36239E-52;;
;;3169,5;4,05937E-51;;
;;3179;1,74454E-50;;
;;3188,5;7,43115E-50;;
;;3198;3,1375E-49;;
;;3207,5;1,31299E-48;;
;;3217;5,44618E-48;;
;;3226,5;2,23911E-47;;
;;3236;9,12449E-47;;
;;3245,5;3,68548E-46;;
;;3255;1,47548E-45;;
;;3264,5;5,85493E-45;;
;;3274;2,30284E-44;;
;;3283,5;8,97753E-44;;
;;3293;3,46898E-43;;
;;3302,5;1,32861E-42;;
;;3312;5,04368E-42;;
;;3321,5;1,89779E-41;;
;;3331;7,07784E-41;;
;;3340,5;2,61641E-40;;
;;3350;9,58652E-40;;
;;3359,5;3,48152E-39;;
;;3369;1,25322E-38;;
;;3378,5;4,47137E-38;;
;;3388;1,58126E-37;;
;;3397,5;5,54267E-37;;
;;3407;1,92569E-36;;
;;3416,5;6,6314E-36;;
;;3426;2,26348E-35;;
;;3435,5;7,65771E-35;;
;;3445;2,56787E-34;;
;;3454,5;8,53492E-34;;
;;3464;2,81176E-33;;
;;3473,5;9,18137E-33;;
;;3483;2,97159E-32;;
;;3492,5;9,53285E-32;;
;;3502;3,03116E-31;;
;;3511,5;9,55313E-31;;
;;3521;2,98425E-30;;
;;3530,5;9,24008E-30;;
;;3540;2,83575E-29;;
;;3549,5;8,62607E-29;;
;;3559;2,60081E-28;;
;;3568,5;7,77244E-28;;
;;3578;2,30228E-27;;
;;3587,5;6,75942E-27;;
;;3597;1,96704E-26;;
;;3606,5;5,67373E-26;;
;;3616;1,6221E-25;;
;;3625,5;4,59659E-25;;
;;3635;1,29106E-24;;
;;3644,5;3,59426E-24;;
;;3654;9,91801E-24;;
;;3663,5;2,71263E-23;;
;;3673;7,35376E-23;;
;;3682,5;1,97597E-22;;
;;3692;5,26262E-22;;
;;3701,5;1,38923E-21;;
;;3711;3,63497E-21;;
;;3720,5;9,42712E-21;;
;;3730;2,42331E-20;;
;;3739,5;6,17433E-20;;
;;3749;1,55927E-19;;
;;3758,5;3,90308E-19;;
;;3768;9,68376E-19;;
;;3777,5;2,3814E-18;;
;;3787;5,80461E-18;;
;;3796,5;1,40238E-17;;
;;3806;3,35822E-17;;
;;3815,5;7,97086E-17;;
;;3825;1,87522E-16;;
;;3834,5;4,37273E-16;;
;;3844;1,01066E-15;;
;;3853,5;2,3153E-15;;
;;3863;5,25729E-15;;
;;3872,5;1,18323E-14;;
;;3882;2,63954E-14;;
;;3891,5;5,83631E-14;;
;;3901;1,27909E-13;;
;;3910,5;2,77853E-13;;
;;3920;5,98248E-13;;
;;3929,5;1,27673E-12;;
;;3939;2,70065E-12;;
;;3948,5;5,66226E-12;;
;;3958;1,17669E-11;;
;;3967,5;2,42376E-11;;
;;3977;4,94841E-11;;
;;3986,5;1,00137E-10;;
;;3996;2,00852E-10;;
;;4005,5;3,99308E-10;;
;;4015;7,86851E-10;;
;;4024,5;1,53684E-09;;
;;4034;2,9752E-09;;
;;4043,5;5,70895E-09;;
;;4053;1,0858E-08;;
;;4062,5;2,04688E-08;;
;;4072;3,82461E-08;;
;;4081,5;7,08327E-08;;
;;4091;1,30027E-07;;
;;4100,5;2,36583E-07;;
;;4110;4,26665E-07;;
;;4119,5;7,62678E-07;;
;;4129;1,35129E-06;;
;;4138,5;2,37304E-06;;
;;4148;4,13062E-06;;
;;4157,5;7,12652E-06;;
;;4167;1,21868E-05;;
;;4176,5;2,06565E-05;;
;;4186;3,47036E-05;;
;;4195,5;5,77887E-05;;
;;4205;9,53815E-05;;
;;4214,5;0,00015604;;
;;4224;0,000253024;;
;;4233,5;0,000406666;;
;;4243;0,000647838;;
;;4252,5;0,00102293;;
;;4262;0,00160095;;
;;4271,5;0,00248349;;
;;4281;0,00381855;;
