Frequency [Hz] - Fit Points;Amplitude - Fit Points;Frequency [Hz] - Fit Curve;Amplitude - Fit Curve;Frequency [Hz] - Histogram;Amplitude - Histogram
1230,078;0,982972;500;1,21887E-11;1230,078;2
1259,041;1,52822;509,5;2,00876E-11;1259,041;1
1288,004;2,2774;519;3,2955E-11;1288,004;3
1316,967;3,25311;528,5;5,38191E-11;1316,967;4
1345,93;4,45413;538;8,74926E-11;1345,93;7
1374,892;5,84567;547,5;1,41588E-10;1374,892;5
1403,855;7,3538;557;2,28089E-10;1403,855;11
1432,818;8,86738;566,5;3,65766E-10;1432,818;14
1461,781;10,2491;576;5,83879E-10;1461,781;13
1490,743;11,3548;585,5;9,27819E-10;1490,743;15
1519,706;12,0582;595;1,46766E-09;1519,706;12
1548,669;12,2742;604,5;2,31104E-09;1548,669;16
1577,632;11,9759;614;3,62252E-09;1577,632;14
1606,595;11,2003;623,5;5,65243E-09;1606,595;16
1635,557;10,0405;633;8,77973E-09;1635,557;16
1664,52;8,6276;642,5;1,35752E-08;1664,52;15
1693,483;7,10608;652;2,08947E-08;1693,483;14
1722,446;5,61017;661,5;3,20143E-08;1722,446;8
1751,408;4,2455;671;4,88286E-08;1751,408;3
1780,371;3,07955;680,5;7,41353E-08;1780,371;6
1809,334;2,14118;690;1,12046E-07;1809,334;7
1838,297;1,427;699,5;1,68574E-07;1838,297;4
1867,26;0,911595;709;2,52466E-07;1867,26;3
1896,222;0,558195;718,5;3,7639E-07;1896,222;1
1925,185;0,327624;728;5,58592E-07;1925,185;1
1954,148;0,18432;737,5;8,25224E-07;1954,148;1
1983,111;0,0993974;747;1,21358E-06;1983,111;1
2012,074;0,0513788;756,5;1,7766E-06;2012,074;1
2069,999;0,0120898;766;2,58898E-06;2041,036;0
2127,925;0,0024015;775,5;3,7557E-06;2069,999;1
2359,627;6,87038E-07;785;5,42342E-06;2098,962;0
;;794,5;7,79608E-06;2127,925;1
;;804;1,11558E-05;2156,887;0
;;813,5;1,58908E-05;2185,85;0
;;823;2,25327E-05;2214,813;0
;;832,5;3,18053E-05;2243,776;0
;;842;4,46898E-05;2272,739;0
;;851,5;6,25084E-05;2301,701;0
;;861;0,000087034;2330,664;0
;;870,5;0,000120631;2359,627;2
;;880;0,000166438;;
;;889,5;0,000228595;;
;;899;0,000312537;;
;;908,5;0,000425361;;
;;918;0,000576282;;
;;927,5;0,0007772;;
;;937;0,0010434;;
;;946,5;0,00139441;;
;;956;0,00185504;;
;;965,5;0,0024566;;
;;975;0,00323846;;
;;984,5;0,00424974;;
;;994;0,00555146;;
;;1003,5;0,00721894;;
;;1013;0,00934461;;
;;1022,5;0,0120412;;
;;1032;0,0154454;;
;;1041,5;0,0197219;;
;;1051;0,0250681;;
;;1060,5;0,0317185;;
;;1070;0,0399509;;
;;1079,5;0,0500912;;
;;1089;0,0625197;;
;;1098,5;0,0776772;;
;;1108;0,0960708;;
;;1117,5;0,11828;;
;;1127;0,144961;;
;;1136,5;0,176852;;
;;1146;0,214779;;
;;1155,5;0,259654;;
;;1165;0,312478;;
;;1174,5;0,374339;;
;;1184;0,446407;;
;;1193,5;0,529929;;
;;1203;0,626219;;
;;1212,5;0,73664;;
;;1222;0,862592;;
;;1231,5;1,00549;;
;;1241;1,16673;;
;;1250,5;1,34767;;
;;1260;1,54959;;
;;1269,5;1,77367;;
;;1279;2,02092;;
;;1288,5;2,29217;;
;;1298;2,588;;
;;1307,5;2,90874;;
;;1317;3,25436;;
;;1326,5;3,62449;;
;;1336;4,01837;;
;;1345,5;4,43479;;
;;1355;4,87212;;
;;1364,5;5,32824;;
;;1374;5,80057;;
;;1383,5;6,28607;;
;;1393;6,78122;;
;;1402,5;7,28212;;
;;1412;7,78447;;
;;1421,5;8,28364;;
;;1431;8,77474;;
;;1440,5;9,2527;;
;;1450;9,71234;;
;;1459,5;10,1485;;
;;1469;10,5559;;
;;1478,5;10,9299;;
;;1488;11,2656;;
;;1497,5;11,5589;;
;;1507;11,8058;;
;;1516,5;12,0033;;
;;1526;12,1485;;
;;1535,5;12,2396;;
;;1545;12,2753;;
;;1554,5;12,2552;;
;;1564;12,1795;;
;;1573,5;12,0492;;
;;1583;11,8661;;
;;1592,5;11,6326;;
;;1602;11,3519;;
;;1611,5;11,0276;;
;;1621;10,6639;;
;;1630,5;10,2653;;
;;1640;9,83665;;
;;1649,5;9,38306;;
;;1659;8,90969;;
;;1668,5;8,42174;;
;;1678;7,92432;;
;;1687,5;7,42238;;
;;1697;6,92063;;
;;1706,5;6,42346;;
;;1716;5,9349;;
;;1725,5;5,45857;;
;;1735;4,99764;;
;;1744,5;4,55484;;
;;1754;4,13239;;
;;1763,5;3,73208;;
;;1773;3,35523;;
;;1782,5;3,00271;;
;;1792;2,67501;;
;;1801,5;2,37225;;
;;1811;2,09418;;
;;1820,5;1,84031;;
;;1830;1,60986;;
;;1839,5;1,40186;;
;;1849;1,21519;;
;;1858,5;1,04859;;
;;1868;0,900711;;
;;1877,5;0,770172;;
;;1887;0,655558;;
;;1896,5;0,555463;;
;;1906;0,468512;;
;;1915,5;0,393375;;
;;1925;0,328786;;
;;1934,5;0,273553;;
;;1944;0,226564;;
;;1953,5;0,186794;;
;;1963;0,153304;;
;;1972,5;0,125247;;
;;1982;0,101859;;
;;1991,5;0,0824621;;
;;2001;0,0664554;;
;;2010,5;0,0533122;;
;;2020;0,042574;;
;;2029,5;0,0338441;;
;;2039;0,026782;;
;;2048,5;0,0210972;;
;;2058;0,0165434;;
;;2067,5;0,0129136;;
;;2077;0,0100344;;
;;2086,5;0,00776172;;
;;2096;0,00597646;;
;;2105,5;0,0045809;;
;;2115;0,00349526;;
;;2124,5;0,00265478;;
;;2134;0,00200724;;
;;2143,5;0,00151074;;
;;2153;0,00113189;;
;;2162,5;0,000844181;;
;;2172;0,000626744;;
;;2181,5;0,000463197;;
;;2191;0,000340771;;
;;2200,5;0,000249563;;
