Frequency [Hz] - Fit Points;Amplitude - Fit Points;Frequency [Hz] - Fit Curve;Amplitude - Fit Curve;Frequency [Hz] - Histogram;Amplitude - Histogram
807,729;0,218309;500;8,43922E-05;676,371;1
836,313;0,374767;508;0,000108532;708,282;0
922,068;1,56265;516;0,000139225;740,192;0
950,653;2,35817;524;0,000178147;772,102;0
1007,823;4,87548;532;0,000227376;804,013;1
1036,408;6,67955;540;0,000289478;835,923;2
1064,992;8,86101;548;0,000367613;867,834;0
1093,577;11,3822;556;0,00046566;899,744;1
1122,162;14,157;564;0,00058837;931,654;2
1150,747;17,0501;572;0,000741544;963,565;2
1179,332;19,8832;580;0,000932238;995,475;7
1207,917;22,4518;588;0,00116902;1027,385;11
1236,502;24,5484;596;0,00146224;1059,296;7
1265,087;25,9896;604;0,0018244;1091,206;9
1293,672;26,643;612;0,00227052;1123,117;23
1322,256;26,4467;620;0,00281861;1155,027;25
1350,841;25,4195;628;0,00349019;1186,937;26
1379,426;23,6575;636;0,00431088;1218,848;35
1408,011;21,3194;644;0,00531113;1250,758;28
1436,596;18,6032;652;0,00652698;1282,669;35
1465,181;15,7183;660;0,00800094;1314,579;37
1493,766;12,8597;668;0,00978305;1346,489;34
1522,351;10,1873;676;0,0119319;1378,4;29
1550,935;7,81443;684;0,0145162;1410,31;29
1579,52;5,80416;692;0,0176155;1442,22;14
1608,105;4,17434;700;0,0213228;1474,131;27
1665,275;1,9602;708;0,0257452;1506,041;16
1693,86;1,27987;716;0,0310065;1537,952;10
1751,03;0,495355;724;0,0372489;1569,862;8
1779,615;0,29363;732;0,0446352;1601,772;8
1865,369;0,0504064;740;0,0533513;1633,683;2
1893,954;0,026266;748;0,0636087;1665,593;3
1922,539;0,0132528;756;0,0756471;1697,504;2
;;764;0,0897371;1729,414;0
;;772;0,106183;1761,324;3
;;780;0,125327;1793,235;0
;;788;0,147548;1825,145;0
;;796;0,173272;1857,055;1
;;804;0,202968;1888,966;1
;;812;0,237155;1920,876;1
;;820;0,2764;;
;;828;0,321328;;
;;836;0,372618;;
;;844;0,431005;;
;;852;0,497284;;
;;860;0,57231;;
;;868;0,656994;;
;;876;0,752308;;
;;884;0,859277;;
;;892;0,978983;;
;;900;1,11255;;
;;908;1,26116;;
;;916;1,42602;;
;;924;1,60836;;
;;932;1,80944;;
;;940;2,03053;;
;;948;2,27289;;
;;956;2,53776;;
;;964;2,82636;;
;;972;3,13985;;
;;980;3,47931;;
;;988;3,84576;;
;;996;4,24009;;
;;1004;4,66306;;
;;1012;5,11531;;
;;1020;5,59726;;
;;1028;6,10919;;
;;1036;6,65114;;
;;1044;7,22291;;
;;1052;7,82405;;
;;1060;8,45387;;
;;1068;9,11136;;
;;1076;9,79523;;
;;1084;10,5039;;
;;1092;11,2354;;
;;1100;11,9876;;
;;1108;12,7579;;
;;1116;13,5435;;
;;1124;14,3412;;
;;1132;15,1476;;
;;1140;15,959;;
;;1148;16,7716;;
;;1156;17,581;;
;;1164;18,3831;;
;;1172;19,1733;;
;;1180;19,9471;;
;;1188;20,6997;;
;;1196;21,4267;;
;;1204;22,1232;;
;;1212;22,7849;;
;;1220;23,4071;;
;;1228;23,9858;;
;;1236;24,5167;;
;;1244;24,9963;;
;;1252;25,421;;
;;1260;25,7878;;
;;1268;26,0939;;
;;1276;26,3371;;
;;1284;26,5156;;
;;1292;26,628;;
;;1300;26,6734;;
;;1308;26,6516;;
;;1316;26,5626;;
;;1324;26,4073;;
;;1332;26,1866;;
;;1340;25,9024;;
;;1348;25,5566;;
;;1356;25,1519;;
;;1364;24,6913;;
;;1372;24,1779;;
;;1380;23,6156;;
;;1388;23,0082;;
;;1396;22,3599;;
;;1404;21,6751;;
;;1412;20,9583;;
;;1420;20,2141;;
;;1428;19,4472;;
;;1436;18,6623;;
;;1444;17,8638;;
;;1452;17,0565;;
;;1460;16,2446;;
;;1468;15,4323;;
;;1476;14,6237;;
;;1484;13,8225;;
;;1492;13,0323;;
;;1500;12,2563;;
;;1508;11,4974;;
;;1516;10,7584;;
;;1524;10,0414;;
;;1532;9,34867;;
;;1540;8,68175;;
;;1548;8,04208;;
;;1556;7,43077;;
;;1564;6,84862;;
;;1572;6,29616;;
;;1580;5,77368;;
;;1588;5,28121;;
;;1596;4,81857;;
;;1604;4,38538;;
;;1612;3,98107;;
;;1620;3,60492;;
;;1628;3,25609;;
;;1636;2,9336;;
;;1644;2,63638;;
;;1652;2,36331;;
;;1660;2,11318;;
;;1668;1,88476;;
;;1676;1,67679;;
;;1684;1,48801;;
;;1692;1,31716;;
;;1700;1,16298;;
;;1708;1,02427;;
;;1716;0,899822;;
;;1724;0,788503;;
;;1732;0,689214;;
;;1740;0,60091;;
;;1748;0,522598;;
;;1756;0,453347;;
;;1764;0,392281;;
;;1772;0,338585;;
;;1780;0,291502;;
;;1788;0,250334;;
;;1796;0,214438;;
;;1804;0,183226;;
;;1812;0,156163;;
;;1820;0,132761;;
;;1828;0,112582;;
;;1836;0,0952294;;
;;1844;0,0803483;;
;;1852;0,0676217;;
;;1860;0,0567674;;
;;1868;0,0475353;;
;;1876;0,0397043;;
;;1884;0,0330797;;
;;1892;0,027491;;
;;1900;0,0227889;;
;;1908;0,0188434;;
;;1916;0,0155418;;
;;1924;0,0127863;;
;;1932;0,0104929;;
;;1940;0,00858906;;
;;1948;0,00701297;;
;;1956;0,00571165;;
;;1964;0,00464008;;
;;1972;0,00376005;;
;;1980;0,00303924;;
;;1988;0,00245042;;
;;1996;0,0019707;;
;;2004;0,0015809;;
;;2012;0,001265;;
;;2020;0,00100968;;
;;2028;0,000803854;;
;;2036;0,000638375;;
;;2044;0,000505684;;
;;2052;0,000399563;;
;;2060;0,000314917;;
;;2068;0,000247577;;
;;2076;0,000194146;;
;;2084;0,000151863;;
;;2092;0,000118489;;
;;2100;9,22164E-05;;
;;2108;7,15883E-05;;
;;2116;5,54345E-05;;
;;2124;4,28175E-05;;
;;2132;3,29889E-05;;
;;2140;2,53523E-05;;
;;2148;1,94344E-05;;
;;2156;1,48603E-05;;
;;2164;1,13342E-05;;
;;2172;8,62292E-06;;
;;2180;6,5437E-06;;
;;2188;4,95332E-06;;
;;2196;3,74001E-06;;
;;2204;2,81679E-06;;
;;2212;2,11611E-06;;
;;2220;1,58572E-06;;
;;2228;1,18528E-06;;
;;2236;8,83723E-07;;
;;2244;6,57228E-07;;
;;2252;4,87551E-07;;
;;2260;3,60768E-07;;
;;2268;2,66281E-07;;
;;2276;1,96045E-07;;
;;2284;1,43971E-07;;
;;2292;1,05463E-07;;
;;2300;7,70596E-08;;
;;2308;5,6164E-08;;
;;2316;4,08313E-08;;
;;2324;2,96096E-08;;
;;2332;2,14179E-08;;
;;2340;1,54534E-08;;
;;2348;1,11218E-08;;
;;2356;7,98415E-09;;
;;2364;5,71725E-09;;
;;2372;4,08366E-09;;
;;2380;2,90949E-09;;
;;2388;2,0677E-09;;
;;2396;1,46575E-09;;
;;2404;1,03643E-09;;
;;2412;7,31006E-10;;
;;2420;5,14289E-10;;
;;2428;3,60908E-10;;
;;2436;2,52633E-10;;
;;2444;1,76396E-10;;
;;2452;1,22854E-10;;
;;2460;8,53483E-11;;
;;2468;5,91431E-11;;
;;2476;4,08806E-11;;
;;2484;2,81861E-11;;
;;2492;1,93845E-11;;
;;2500;1,32978E-11;;
;;2508;9,09933E-12;;
;;2516;6,21072E-12;;
;;2524;4,22842E-12;;
;;2532;2,87157E-12;;
;;2540;1,9452E-12;;
;;2548;1,31435E-12;;
;;2556;8,85857E-13;;
;;2564;5,95552E-13;;
;;2572;3,99374E-13;;
;;2580;2,67143E-13;;
;;2588;1,78243E-13;;
;;2596;1,18627E-13;;
;;2604;7,87514E-14;;
;;2612;5,2148E-14;;
;;2620;3,44446E-14;;
;;2628;2,26939E-14;;
;;2636;1,49142E-14;;
;;2644;9,77675E-15;;
;;2652;6,39283E-15;;
;;2660;4,16962E-15;;
;;2668;2,71271E-15;;
;;2676;1,76041E-15;;
;;2684;1,13954E-15;;
;;2692;7,35777E-16;;
;;2700;4,7388E-16;;
;;2708;3,04435E-16;;
;;2716;1,95085E-16;;
;;2724;1,24698E-16;;
;;2732;7,95054E-17;;
;;2740;5,05636E-17;;
;;2748;3,20763E-17;;
;;2756;2,02971E-17;;
;;2764;1,28111E-17;;
;;2772;8,06574E-18;;
;;2780;5,0653E-18;;
;;2788;3,173E-18;;
;;2796;1,98262E-18;;
;;2804;1,2357E-18;;
;;2812;7,68227E-19;;
;;2820;4,76398E-19;;
;;2828;2,94683E-19;;
;;2836;1,81821E-19;;
;;2844;1,11901E-19;;
;;2852;6,86961E-20;;
;;2860;4,20661E-20;;
;;2868;2,56943E-20;;
;;2876;1,56547E-20;;
;;2884;9,51384E-21;;
;;2892;5,76729E-21;;
;;2900;3,48732E-21;;
;;2908;2,10337E-21;;
