Frequency [Hz] - Fit Points	Amplitude - Fit Points	Frequency [Hz] - Fit Curve	Amplitude - Fit Curve	Frequency [Hz] - Histogram	Amplitude - Histogram
551,475	1,26422E-38	500	9,26966E-41	551,475	227
642,947	5,72982E-35	508	2,00674E-40	642,947	163
734,42	1,73308E-31	516	4,33085E-40	734,42	29
825,893	3,4983E-28	524	9,31778E-40	825,893	1
917,366	4,71254E-25	532	1,99852E-39	917,366	1
1008,838	4,23657E-22	540	4,27328E-39	1008,838	1
1100,311	2,54175E-19	548	9,109E-39	1100,311	2
1191,784	1,01768E-16	556	1,93569E-38	1191,784	6
1283,256	2,71927E-14	564	4,10071E-38	1283,256	1
1374,729	4,84899E-12	572	8,66039E-38	1374,729	1
1649,147	2,42892E-06	580	1,82336E-37	1466,202	0
1740,62	0,000085912	588	3,82706E-37	1557,674	0
1832,093	0,00202794	596	8,0078E-37	1649,147	4
1923,565	0,031946	604	1,67039E-36	1740,62	3
2015,038	0,335845	612	3,4736E-36	1832,093	2
2106,511	2,35625	620	7,20109E-36	1923,565	1
2197,983	11,0322	628	1,48824E-35	2015,038	2
2289,456	34,472	636	3,06623E-35	2106,511	1
2380,929	71,8836	644	6,29785E-35	2197,983	7
2472,401	100,035	652	1,28955E-34	2289,456	59
2563,874	92,9047	660	2,63231E-34	2380,929	133
2655,347	57,5813	668	5,35667E-34	2472,401	88
2746,82	23,8169	676	1,0867E-33	2563,874	82
2838,292	6,57432	684	2,19776E-33	2655,347	80
2929,765	1,21109	692	4,43105E-33	2746,82	51
3021,238	0,148889	700	8,90617E-33	2838,292	3
3112,71	0,0122154	708	1,78456E-32	2929,765	6
3204,183	0,000668826	716	3,56474E-32	3021,238	3
3295,656	2,44388E-05	724	7,09874E-32	3112,71	3
3387,128	5,95944E-07	732	1,40926E-31	3204,183	6
3478,601	9,69823E-09	740	2,78906E-31	3295,656	4
3570,074	1,05327E-10	748	5,50277E-31	3387,128	6
3661,547	7,63392E-13	756	1,08233E-30	3478,601	4
3753,019	3,69246E-15	764	2,12225E-30	3570,074	6
3844,492	1,19191E-17	772	4,14849E-30	3661,547	3
3935,965	2,56763E-20	780	8,08423E-30	3753,019	4
4118,91	3,54152E-26	788	1,57052E-29	3844,492	2
		796	3,04164E-29	3935,965	3
		804	5,87254E-29	4027,437	0
		812	1,13032E-28	4118,91	1
		820	2,16887E-28		
		828	4,1488E-28		
		836	7,91166E-28		
		844	1,50407E-27		
		852	2,85054E-27		
		860	5,38571E-27		
		868	1,01441E-26		
		876	1,90477E-26		
		884	3,56555E-26		
		892	6,65377E-26		
		900	1,23784E-25		
		908	2,29572E-25		
		916	4,24454E-25		
		924	7,82344E-25		
		932	1,43754E-24		
