Frequency [Hz] - Fit Points	Amplitude - Fit Points	Frequency [Hz] - Fit Curve	Amplitude - Fit Curve	Frequency [Hz] - Histogram	Amplitude - Histogram
541,742	1,32658E-19	500	1,32232E-20	541,742	30
607,801	4,5532E-18	508	2,06595E-20	607,801	16
673,86	1,36034E-16	516	3,22121E-20	673,86	6
739,919	3,53773E-15	524	5,01228E-20	739,919	1
1796,859	0,989732	532	7,78337E-20	805,977	0
1862,917	2,43382	540	1,20619E-19	872,036	0
1928,976	5,20964	548	1,86544E-19	938,095	0
1995,035	9,70672	556	2,87914E-19	1004,154	0
2061,094	15,7429	564	4,43466E-19	1070,212	0
2127,152	22,225	572	6,81669E-19	1136,271	0
2193,211	27,3116	580	1,04569E-18	1202,33	0
2259,27	29,2146	588	1,60085E-18	1268,389	0
2325,328	27,2018	596	2,44576E-18	1334,447	0
2391,387	22,0467	604	3,729E-18	1400,506	0
2457,446	15,5538	612	5,67398E-18	1466,565	0
2523,505	9,55156	620	8,61588E-18	1532,624	0
2589,563	5,10575	628	1,30565E-17	1598,682	0
2655,622	2,3757	636	1,97457E-17	1664,741	0
2721,681	0,962212	644	2,98011E-17	1730,8	0
2787,74	0,339232	652	4,48859E-17	1796,859	3
2853,798	0,104104	660	6,74688E-17	1862,917	7
3051,975	0,00130878	668	1,01207E-16	1928,976	7
3118,033	0,000230582	676	1,51509E-16	1995,035	10
		684	2,2635E-16	2061,094	18
		692	3,37473E-16	2127,152	36
		700	5,02127E-16	2193,211	38
		708	7,45599E-16	2259,27	42
		716	1,10487E-15	2325,328	29
		724	1,63394E-15	2391,387	37
		732	2,41144E-15	2457,446	16
		740	3,55167E-15	2523,505	15
		748	5,22042E-15	2589,563	6
		756	7,65763E-15	2655,622	2
		764	1,12098E-14	2721,681	3
		772	1,63765E-14	2787,74	3
		780	2,38759E-14	2853,798	1
		788	3,47387E-14	2919,857	0
		796	5,0441E-14	2985,916	0
		804	7,30922E-14	3051,975	1
		812	1,057E-13	3118,033	2
		820	1,52543E-13		
		828	2,197E-13		
		836	3,15778E-13		
		844	4,5295E-13		
		852	6,48387E-13		
		860	9,26266E-13		
		868	1,32054E-12		
		876	1,87883E-12		
		884	2,6677E-12		
		892	3,7801E-12		
		900	5,34546E-12		
		908	7,5437E-12		
		916	1,06243E-11		
		924	1,49324E-11		
		932	2,09449E-11		
		940	2,93186E-11		
		948	4,09566E-11		
		956	5,70979E-11		
		964	7,94389E-11		
