,Amplitude,mu,sigma
0,26.253455445371124,1021.3022426374673,171.62028632344646
1,15.843613926153187,1211.2244075868884,165.95414187272578
2,16.016492627152854,1565.3218078744442,156.13011733004552
3,15.016350075436359,1938.6100533512813,164.43919348544742
4,15.79583203663542,2317.741665516736,176.81574842924746
5,12.933153663335979,2888.5719822818037,446.4576197349916
6,36.79039928228225,3988.9450541479277,147.45682853197815
7,75.87706643910914,4464.645369216147,130.5131260054387
8,125.28379648165544,4750.802582592031,93.8722391201041
9,175.34089240823903,4949.135151831384,84.74712740498512
10,144.60506043771804,5089.718216601056,72.8962078916547
11,239.22174729887323,5106.553044545734,85.35000662165518
12,145.6697574816508,5086.9534651632175,81.52165702847685
13,90.76388013178848,5024.343093140051,94.61250893477867
14,76.80121014662222,4792.830682742885,79.9824209611158
15,37.849228436096176,4509.9151329554115,136.36884884648148
16,44.40669354567464,4089.3610613372693,112.74671484659942
17,110.66363055791392,2797.4270561343756,63.492830151003496
