Frequency [Hz] - Fit Points,Amplitude - Fit Points,Frequency [Hz] - Fit Curve,Amplitude - Fit Curve,Frequency [Hz] - Histogram,Amplitude - Histogram
2343.42,2.93004,500,1.65143E-08,2343.42,2
2410.102,3.72593,509.5,1.93603E-08,2376.761,0
2443.443,4.15274,519,2.26823E-08,2410.102,1
2476.783,4.59249,528.5,2.65576E-08,2443.443,4
2510.124,5.03936,538,3.10753E-08,2476.783,3
2543.465,5.48675,547.5,3.63385E-08,2510.124,14
2576.806,5.92745,557,4.24663E-08,2543.465,12
2610.147,6.35382,566.5,4.95959E-08,2576.806,23
2643.488,6.75794,576,5.78858E-08,2610.147,7
2676.828,7.13193,585.5,6.75187E-08,2643.488,10
2710.169,7.46815,595,7.87047E-08,2676.828,19
2743.51,7.75948,604.5,9.16859E-08,2710.169,13
2776.851,7.99954,614,1.0674E-07,2743.51,8
2810.192,8.18297,623.5,1.24188E-07,2776.851,15
2843.533,8.30558,633,1.44397E-07,2810.192,24
2876.873,8.36454,642.5,1.67788E-07,2843.533,17
2910.214,8.35848,652,1.94844E-07,2876.873,16
2943.555,8.28755,661.5,2.2612E-07,2910.214,17
2976.896,8.15338,671,2.6225E-07,2943.555,7
3010.237,7.95908,680.5,3.03961E-07,2976.896,14
3043.578,7.70906,690,3.52083E-07,3010.237,8
3076.918,7.40889,699.5,4.07565E-07,3043.578,5
3110.259,7.06509,709,4.71491E-07,3076.918,5
3143.6,6.68491,718.5,5.451E-07,3110.259,7
3176.941,6.27606,728,6.298E-07,3143.6,6
3210.282,5.84644,737.5,7.27202E-07,3176.941,7
3243.622,5.40392,747,8.39136E-07,3210.282,8
3276.963,4.9561,756.5,9.67686E-07,3243.622,4
3310.304,4.51008,766,1.11522E-06,3276.963,8
3343.645,4.07232,775.5,1.28444E-06,3310.304,11
3376.986,3.64848,785,1.4784E-06,3343.645,8
3410.327,3.24337,794.5,1.70057E-06,3376.986,17
3443.667,2.86084,804,1.95489E-06,3410.327,9
3477.008,2.50382,813.5,2.24581E-06,3443.667,16
3510.349,2.17434,823,2.57841E-06,3477.008,10
3543.69,1.87354,832.5,2.95838E-06,3510.349,6
3577.031,1.60182,842,3.3922E-06,3543.69,2
3610.372,1.35887,851.5,3.88718E-06,3577.031,4
3643.712,1.14381,861,4.45155E-06,3610.372,1
,,870.5,5.09465E-06,3643.712,3
,,880,5.82696E-06,,
,,889.5,6.66032E-06,,
,,899,7.60804E-06,,
,,908.5,8.68511E-06,,
,,918,9.90839E-06,,
,,927.5,1.12968E-05,,
,,937,1.28716E-05,,
,,946.5,1.46567E-05,,
,,956,1.66788E-05,,
,,965.5,1.89678E-05,,
,,975,2.15574E-05,,
,,984.5,2.44849E-05,,
,,994,2.77925E-05,,
,,1003.5,3.15268E-05,,
,,1013,3.57403E-05,,
,,1022.5,4.04913E-05,,
,,1032,4.58447E-05,,
,,1041.5,5.18732E-05,,
,,1051,5.86572E-05,,
,,1060.5,6.62864E-05,,
,,1070,7.48605E-05,,
,,1079.5,8.44902E-05,,
,,1089,9.52982E-05,,
,,1098.5,0.000107421,,
,,1108,0.000121009,,
,,1117.5,0.000136229,,
,,1127,0.000153267,,
,,1136.5,0.000172327,,
,,1146,0.000193634,,
,,1155.5,0.000217437,,
,,1165,0.000244013,,
,,1174.5,0.000273663,,
,,1184,0.000306722,,
,,1193.5,0.000343557,,
,,1203,0.000384572,,
,,1212.5,0.000430211,,
,,1222,0.000480962,,
,,1231.5,0.000537359,,
,,1241,0.000599989,,
,,1250.5,0.000669495,,
,,1260,0.00074658,,
,,1269.5,0.000832014,,
,,1279,0.000926637,,
,,1288.5,0.00103137,,
,,1298,0.00114721,,
,,1307.5,0.00127526,,
,,1317,0.00141669,,
,,1326.5,0.00157283,,
,,1336,0.00174506,,
,,1345.5,0.00193492,,
,,1355,0.00214409,,
,,1364.5,0.00237437,,
,,1374,0.00262771,,
,,1383.5,0.00290624,,
,,1393,0.00321226,,
,,1402.5,0.00354826,,
,,1412,0.00391692,,
,,1421.5,0.00432115,,
,,1431,0.00476408,,
,,1440.5,0.00524909,,
,,1450,0.00577981,,
,,1459.5,0.00636016,,
,,1469,0.00699436,,
,,1478.5,0.00768693,,
,,1488,0.00844272,,
,,1497.5,0.00926696,,
,,1507,0.0101652,,
,,1516.5,0.0111435,,
,,1526,0.0122082,,
,,1535.5,0.0133662,,
,,1545,0.0146247,,
,,1554.5,0.0159916,,
,,1564,0.0174752,,
,,1573.5,0.0190843,,
,,1583,0.0208285,,
,,1592.5,0.0227176,,
,,1602,0.0247624,,
,,1611.5,0.0269742,,
,,1621,0.0293649,,
,,1630.5,0.0319472,,
,,1640,0.0347347,,
,,1649.5,0.0377415,,
,,1659,0.0409826,,
,,1668.5,0.0444739,,
,,1678,0.048232,,
,,1687.5,0.0522746,,
,,1697,0.0566202,,
,,1706.5,0.0612882,,
,,1716,0.0662991,,
,,1725.5,0.0716742,,
,,1735,0.0774361,,
,,1744.5,0.0836083,,
,,1754,0.0902153,,
,,1763.5,0.0972827,,
,,1773,0.104837,,
,,1782.5,0.112907,,
,,1792,0.121522,,
,,1801.5,0.13071,,
,,1811,0.140504,,
,,1820.5,0.150937,,
,,1830,0.162042,,
,,1839.5,0.173853,,
,,1849,0.186408,,
,,1858.5,0.199742,,
,,1868,0.213895,,
,,1877.5,0.228906,,
,,1887,0.244815,,
,,1896.5,0.261664,,
,,1906,0.279496,,
,,1915.5,0.298354,,
,,1925,0.318283,,
,,1934.5,0.339328,,
,,1944,0.361536,,
,,1953.5,0.384953,,
,,1963,0.409627,,
,,1972.5,0.435608,,
,,1982,0.462942,,
,,1991.5,0.491681,,
,,2001,0.521873,,
,,2010.5,0.553569,,
,,2020,0.586818,,
,,2029.5,0.62167,,
,,2039,0.658175,,
,,2048.5,0.696383,,
,,2058,0.736343,,
,,2067.5,0.778102,,
,,2077,0.82171,,
,,2086.5,0.867212,,
,,2096,0.914655,,
,,2105.5,0.964083,,
,,2115,1.01554,,
,,2124.5,1.06906,,
,,2134,1.1247,,
,,2143.5,1.18248,,
,,2153,1.24244,,
,,2162.5,1.30461,,
,,2172,1.36903,,
,,2181.5,1.43572,,
,,2191,1.50471,,
,,2200.5,1.57601,,
,,2210,1.64965,,
,,2219.5,1.72564,,
,,2229,1.80398,,
,,2238.5,1.88469,,
,,2248,1.96776,,
,,2257.5,2.05319,,
,,2267,2.14098,,
,,2276.5,2.2311,,
,,2286,2.32355,,
,,2295.5,2.4183,,
,,2305,2.51531,,
,,2314.5,2.61457,,
,,2324,2.71602,,
,,2333.5,2.81962,,
,,2343,2.92532,,
,,2352.5,3.03306,,
,,2362,3.14278,,
