Frequency [Hz] - Fit Points,Amplitude - Fit Points,Frequency [Hz] - Fit Curve,Amplitude - Fit Curve,Frequency [Hz] - Histogram,Amplitude - Histogram
575.075,0,500,0,575.075,49
701.236,0,508,0,701.236,7
827.397,0,516,0,827.397,1
4864.551,8.12451,524,0,953.558,0
4990.712,26.8181,532,0,1079.719,0
5116.873,55.593,540,0,1205.88,0
5243.035,72.3721,548,0,1332.041,0
5369.196,59.1674,556,0,1458.203,0
5495.357,30.3777,564,0,1584.364,0
,,572,0,1710.525,0
,,580,0,1836.686,0
,,588,0,1962.847,0
,,596,0,2089.008,0
,,604,0,2215.169,0
,,612,0,2341.33,0
,,620,0,2467.491,0
,,628,0,2593.652,0
,,636,0,2719.813,0
,,644,0,2845.974,0
,,652,0,2972.135,0
,,660,0,3098.296,0
,,668,0,3224.457,0
,,676,0,3350.619,0
,,684,0,3476.78,0
,,692,0,3602.941,0
,,700,0,3729.102,0
,,708,0,3855.263,0
,,716,0,3981.424,0
,,724,0,4107.585,0
,,732,0,4233.746,0
,,740,0,4359.907,0
,,748,0,4486.068,0
,,756,0,4612.229,0
,,764,0,4738.39,0
,,772,0,4864.551,9
,,780,0,4990.712,30
,,788,0,5116.873,66
,,796,0,5243.035,111
,,804,0,5369.196,76
,,812,0,5495.357,31
,,820,0,,
,,828,0,,
,,836,0,,
,,844,0,,
,,852,0,,
,,860,0,,
,,868,0,,
,,876,0,,
,,884,0,,
,,892,0,,
,,900,0,,
,,908,0,,
,,916,0,,
,,924,0,,
,,932,0,,
,,940,0,,
,,948,0,,
,,956,0,,
,,964,0,,
,,972,0,,
,,980,0,,
,,988,0,,
,,996,0,,
,,1004,0,,
,,1012,0,,
,,1020,0,,
,,1028,0,,
,,1036,0,,
,,1044,0,,
,,1052,0,,
,,1060,0,,
,,1068,0,,
,,1076,0,,
,,1084,0,,
,,1092,0,,
,,1100,0,,
,,1108,0,,
,,1116,0,,
,,1124,0,,
,,1132,0,,
,,1140,0,,
,,1148,0,,
,,1156,0,,
,,1164,0,,
,,1172,0,,
,,1180,0,,
,,1188,0,,
,,1196,0,,
,,1204,0,,
,,1212,0,,
,,1220,0,,
,,1228,0,,
,,1236,0,,
,,1244,0,,
,,1252,0,,
,,1260,0,,
,,1268,0,,
,,1276,0,,
,,1284,0,,
,,1292,0,,
,,1300,0,,
,,1308,0,,
,,1316,0,,
,,1324,0,,
,,1332,0,,
,,1340,0,,
,,1348,0,,
,,1356,0,,
,,1364,0,,
,,1372,0,,
,,1380,0,,
,,1388,0,,
,,1396,0,,
,,1404,0,,
,,1412,0,,
,,1420,0,,
,,1428,0,,
,,1436,0,,
,,1444,0,,
,,1452,0,,
,,1460,0,,
,,1468,0,,
,,1476,0,,
,,1484,0,,
,,1492,0,,
,,1500,0,,
,,1508,0,,
,,1516,0,,
,,1524,0,,
,,1532,0,,
,,1540,0,,
,,1548,0,,
,,1556,0,,
,,1564,0,,
,,1572,0,,
,,1580,0,,
,,1588,0,,
,,1596,0,,
,,1604,0,,
,,1612,0,,
,,1620,0,,
,,1628,0,,
,,1636,0,,
,,1644,0,,
,,1652,0,,
,,1660,0,,
,,1668,0,,
,,1676,0,,
,,1684,0,,
,,1692,0,,
,,1700,0,,
,,1708,0,,
,,1716,0,,
,,1724,0,,
,,1732,0,,
,,1740,0,,
,,1748,0,,
,,1756,0,,
,,1764,0,,
,,1772,0,,
,,1780,0,,
,,1788,0,,
,,1796,0,,
,,1804,0,,
,,1812,0,,
,,1820,0,,
,,1828,0,,
,,1836,0,,
,,1844,0,,
,,1852,0,,
,,1860,0,,
,,1868,0,,
,,1876,0,,
,,1884,0,,
,,1892,0,,
,,1900,0,,
,,1908,0,,
,,1916,0,,
,,1924,0,,
,,1932,0,,
,,1940,0,,
,,1948,0,,
,,1956,0,,
,,1964,0,,
,,1972,0,,
,,1980,0,,
,,1988,0,,
,,1996,0,,
,,2004,0,,
,,2012,0,,
,,2020,0,,
,,2028,0,,
,,2036,0,,
,,2044,0,,
,,2052,1E-63,,
,,2060,2E-63,,
,,2068,3E-63,,
,,2076,7E-63,,
,,2084,1.5E-62,,
,,2092,3.2E-62,,
,,2100,6.7E-62,,
,,2108,1.39E-61,,
,,2116,2.9E-61,,
,,2124,6.04E-61,,
,,2132,1.253E-60,,
,,2140,2.596E-60,,
,,2148,5.368E-60,,
,,2156,1.1082E-59,,
,,2164,2.2832E-59,,
,,2172,4.6953E-59,,
,,2180,9.6378E-59,,
,,2188,1.9746E-58,,
,,2196,4.03801E-58,,
,,2204,8.2422E-58,,
,,2212,1.67922E-57,,
,,2220,3.41474E-57,,
,,2228,6.931E-57,,
,,2236,1.40418E-56,,
,,2244,2.83946E-56,,
,,2252,5.73109E-56,,
,,2260,1.15459E-55,,
,,2268,2.32168E-55,,
,,2276,4.6598E-55,,
,,2284,9.33511E-55,,
,,2292,1.86663E-54,,
,,2300,3.72551E-54,,
,,2308,7.42165E-54,,
,,2316,1.47572E-53,,
,,2324,2.92882E-53,,
,,2332,5.8019E-53,,
,,2340,1.14719E-52,,
,,2348,2.26406E-52,,
,,2356,4.45993E-52,,
,,2364,8.76913E-52,,
,,2372,1.72096E-51,,
,,2380,3.37113E-51,,
,,2388,6.59122E-51,,
,,2396,1.28631E-50,,
,,2404,2.50559E-50,,
,,2412,4.87151E-50,,
,,2420,9.45377E-50,,
,,2428,1.83119E-49,,
,,2436,3.54038E-49,,
,,2444,6.8321E-49,,
,,2452,1.31597E-48,,
,,2460,2.53002E-48,,
,,2468,4.85503E-48,,
,,2476,9.29921E-48,,
,,2484,1.77782E-47,,
,,2492,3.39248E-47,,
,,2500,6.46152E-47,,
,,2508,1.2284E-46,,
,,2516,2.33095E-46,,
,,2524,4.41481E-46,,
,,2532,8.34603E-46,,
,,2540,1.57484E-45,,
,,2548,2.96605E-45,,
,,2556,5.57582E-45,,
,,2564,1.04623E-44,,
,,2572,1.95944E-44,,
,,2580,3.6629E-44,,
,,2588,6.8345E-44,,
,,2596,1.27284E-43,,
,,2604,2.36609E-43,,
,,2612,4.3901E-43,,
,,2620,8.13029E-43,,
,,2628,1.50288E-42,,
,,2636,2.77288E-42,,
,,2644,5.10653E-42,,
,,2652,9.38658E-42,,
,,2660,1.72217E-41,,
,,2668,3.1538E-41,,
,,2676,5.76472E-41,,
,,2684,1.05175E-40,,
,,2692,1.91527E-40,,
