Frequency [Hz] - Fit Points,Amplitude - Fit Points,Frequency [Hz] - Fit Curve,Amplitude - Fit Curve,Frequency [Hz] - Histogram,Amplitude - Histogram
850.78,1.12924,500,0.00079411,850.78,4
872.118,1.50195,509.5,0.00103039,872.118,2
914.793,2.51784,519,0.00133223,893.456,0
936.131,3.17344,528.5,0.00171638,914.793,3
957.469,3.92865,538,0.00220346,936.131,5
978.807,4.77713,547.5,0.00281871,957.469,9
1000.145,5.7056,557,0.00359296,978.807,4
1021.482,6.69339,566.5,0.00456363,1000.145,6
1042.82,7.71262,576,0.00577596,1021.482,4
1064.158,8.72908,585.5,0.0072844,1042.82,10
1085.496,9.70389,595,0.00915419,1064.158,11
1106.834,10.5958,604.5,0.0114631,1085.496,17
1128.171,11.364,614,0.0143034,1106.834,11
1149.509,11.9713,623.5,0.0177842,1128.171,17
1170.847,12.3869,633,0.0220335,1149.509,15
1192.185,12.5891,642.5,0.0272013,1170.847,11
1213.523,12.5671,652,0.033462,1192.185,14
1234.86,12.3222,661.5,0.0410176,1213.523,14
1256.198,11.8672,671,0.0501008,1234.86,20
1277.536,11.226,680.5,0.0609782,1256.198,13
1298.874,10.4306,690,0.0739538,1277.536,16
1320.212,9.51927,699.5,0.0893722,1298.874,16
1341.549,8.53316,709,0.107622,1320.212,12
1362.887,7.51323,718.5,0.129138,1341.549,11
1384.225,6.49762,728,0.154406,1362.887,12
1405.563,5.51941,737.5,0.183963,1384.225,10
1426.9,4.60512,747,0.2184,1405.563,9
1448.238,3.77399,756.5,0.258364,1426.9,6
1469.576,3.03789,766,0.304555,1448.238,1
1490.914,2.40189,775.5,0.35773,1469.576,3
1512.252,1.86528,785,0.418699,1490.914,3
1533.589,1.42281,794.5,0.488319,1512.252,6
1554.927,1.06601,804,0.567495,1533.589,3
1576.265,0.784485,813.5,0.657168,1554.927,5
1640.278,0.280751,823,0.758309,1576.265,1
1682.954,0.12938,832.5,0.871912,1597.603,0
,,842,0.998976,1618.941,0
,,851.5,1.14049,1640.278,1
,,861,1.29744,1661.616,0
,,870.5,1.47075,1682.954,1
,,880,1.66128,,
,,889.5,1.86985,,
,,899,2.09713,,
,,908.5,2.34368,,
,,918,2.60993,,
,,927.5,2.89611,,
,,937,3.20227,,
,,946.5,3.52822,,
,,956,3.87356,,
,,965.5,4.23761,,
,,975,4.61941,,
,,984.5,5.01775,,
,,994,5.4311,,
,,1003.5,5.85763,,
,,1013,6.29524,,
,,1022.5,6.74154,,
,,1032,7.19385,,
,,1041.5,7.64926,,
,,1051,8.10465,,
,,1060.5,8.55666,,
,,1070,9.00183,,
,,1079.5,9.43655,,
,,1089,9.85716,,
,,1098.5,10.26,,
,,1108,10.6414,,
,,1117.5,10.9977,,
,,1127,11.3257,,
,,1136.5,11.6221,,
,,1146,11.8839,,
,,1155.5,12.1085,,
,,1165,12.2935,,
,,1174.5,12.4371,,
,,1184,12.5377,,
,,1193.5,12.5942,,
,,1203,12.6061,,
,,1212.5,12.5733,,
,,1222,12.496,,
,,1231.5,12.3751,,
,,1241,12.2119,,
,,1250.5,12.0081,,
,,1260,11.7658,,
,,1269.5,11.4875,,
,,1279,11.1759,,
,,1288.5,10.8342,,
,,1298,10.4657,,
,,1307.5,10.0738,,
,,1317,9.66224,,
,,1326.5,9.23456,,
,,1336,8.7945,,
,,1345.5,8.34568,,
,,1355,7.89166,,
,,1364.5,7.43586,,
,,1374,6.98152,,
,,1383.5,6.53168,,
,,1393,6.08913,,
,,1402.5,5.65643,,
,,1412,5.23582,,
,,1421.5,4.82929,,
,,1431,4.43852,,
,,1440.5,4.06489,,
,,1450,3.70951,,
,,1459.5,3.37318,,
,,1469,3.05645,,
,,1478.5,2.75964,,
,,1488,2.48281,,
,,1497.5,2.22582,,
,,1507,1.98835,,
,,1516.5,1.76991,,
,,1526,1.56988,,
,,1535.5,1.38752,,
,,1545,1.22198,,
,,1554.5,1.07238,,
,,1564,0.937749,,
,,1573.5,0.817112,,
,,1583,0.709467,,
,,1592.5,0.613818,,
,,1602,0.529179,,
,,1611.5,0.454591,,
,,1621,0.389131,,
,,1630.5,0.331915,,
,,1640,0.282107,,
,,1649.5,0.238923,,
,,1659,0.20163,,
,,1668.5,0.169555,,
,,1678,0.142076,,
,,1687.5,0.118629,,
,,1697,0.0986989,,
,,1706.5,0.081826,,
,,1716,0.0675968,,
,,1725.5,0.0556439,,
,,1735,0.045642,,
,,1744.5,0.0373051,,
,,1754,0.0303827,,
,,1763.5,0.0246571,,
,,1773,0.0199394,,
,,1782.5,0.0160672,,
,,1792,0.012901,,
,,1801.5,0.010322,,
,,1811,0.0082292,,
,,1820.5,0.00653745,,
,,1830,0.00517507,,
,,1839.5,0.00408206,,
,,1849,0.00320847,,
,,1858.5,0.00251289,,
,,1868,0.00196112,,
,,1877.5,0.00152508,,
,,1887,0.00118178,,
,,1896.5,0.000912503,,
,,1906,0.000702085,,
,,1915.5,0.000538271,,
,,1925,0.000411214,,
,,1934.5,0.000313034,,
,,1944,0.000237449,,
,,1953.5,0.000179476,,
,,1963,0.000135175,,
,,1972.5,0.000101448,,
,,1982,7.58661E-05,,
,,1991.5,5.65337E-05,,
,,2001,4.19781E-05,,
,,2010.5,3.10595E-05,,
,,2020,2.28993E-05,,
,,2029.5,0.000016823,,
,,2039,1.23153E-05,,
,,2048.5,8.98337E-06,,
,,2058,6.52966E-06,,
,,2067.5,4.72931E-06,,
,,2077,3.4132E-06,,
,,2086.5,2.4546E-06,,
,,2096,1.75896E-06,,
,,2105.5,1.25599E-06,,
,,2115,8.93666E-07,,
,,2124.5,6.33605E-07,,
,,2134,4.47629E-07,,
,,2143.5,3.15118E-07,,
,,2153,2.21047E-07,,
,,2162.5,1.54509E-07,,
,,2172,1.07616E-07,,
,,2181.5,7.46888E-08,,
,,2191,5.16525E-08,,
,,2200.5,3.55945E-08,,
,,2210,2.44416E-08,,
,,2219.5,1.67238E-08,,
,,2229,1.14023E-08,,
,,2238.5,7.74656E-09,,
,,2248,5.24422E-09,,
,,2257.5,3.5376E-09,,
,,2267,2.37789E-09,,
,,2276.5,1.59269E-09,,
,,2286,1.06298E-09,,
,,2295.5,7.06934E-10,,
,,2305,4.68475E-10,,
,,2314.5,3.0935E-10,,
,,2324,2.03549E-10,,
,,2333.5,1.33458E-10,,
,,2343,8.7192E-11,,
,,2352.5,5.67629E-11,,
,,2362,3.68221E-11,,
,,2371.5,2.38017E-11,,
,,2381,1.53308E-11,,
,,2390.5,9.83955E-12,,
,,2400,6.29279E-12,,
,,2409.5,4.01021E-12,,
,,2419,2.54652E-12,,
,,2428.5,1.61132E-12,,
,,2438,1.01595E-12,,
,,2447.5,6.38295E-13,,
,,2457,3.996E-13,,
,,2466.5,2.49279E-13,,
,,2476,1.54953E-13,,
,,2485.5,9.59783E-14,,
,,2495,5.9238E-14,,
,,2504.5,3.64321E-14,,
,,2514,2.23267E-14,,
,,2523.5,1.36339E-14,,
,,2533,8.29606E-15,,
,,2542.5,5.03014E-15,,
,,2552,3.03909E-15,,
,,2561.5,1.82963E-15,,
,,2571,1.09759E-15,,
,,2580.5,6.56102E-16,,
,,2590,3.90804E-16,,
,,2599.5,2.31955E-16,,
,,2609,1.37184E-16,,
,,2618.5,8.08461E-17,,
,,2628,4.74757E-17,,
,,2637.5,2.77804E-17,,
,,2647,1.61981E-17,,
,,2656.5,9.41116E-18,,
,,2666,5.44853E-18,,
,,2675.5,3.14319E-18,,
,,2685,1.80684E-18,,
,,2694.5,1.03496E-18,,
,,2704,5.90722E-19,,
,,2713.5,3.35969E-19,,
,,2723,1.90402E-19,,
,,2732.5,1.07522E-19,,
,,2742,6.05039E-20,,
,,2751.5,3.39253E-20,,
,,2761,1.89548E-20,,
,,2770.5,1.05529E-20,,
,,2780,5.85436E-21,,
,,2789.5,3.23626E-21,,
,,2799,1.78264E-21,,
,,2808.5,9.78452E-22,,
,,2818,5.35145E-22,,
,,2827.5,2.91649E-22,,
,,2837,1.58381E-22,,
,,2846.5,8.57046E-23,,
,,2856,4.62126E-23,,
,,2865.5,2.48298E-23,,
,,2875,1.32935E-23,,
,,2884.5,7.09194E-24,,
,,2894,3.77003E-24,,
,,2903.5,1.99702E-24,,
,,2913,1.05408E-24,,
,,2922.5,5.54398E-25,,
,,2932,2.90553E-25,,
,,2941.5,1.51735E-25,,
,,2951,7.89592E-26,,
,,2960.5,4.09425E-26,,
,,2970,2.11545E-26,,
,,2979.5,1.08915E-26,,
,,2989,5.58763E-27,,
,,2998.5,2.85643E-27,,
,,3008,1.45504E-27,,
,,3017.5,7.38558E-28,,
,,3027,3.7355E-28,,
,,3036.5,1.88265E-28,,
,,3046,9.45465E-29,,
,,3055.5,4.73127E-29,,
,,3065,2.35921E-29,,
,,3074.5,1.17222E-29,,
,,3084,5.80378E-30,,
,,3093.5,2.8633E-30,,
,,3103,1.4076E-30,,
,,3112.5,6.89522E-31,,
,,3122,3.36568E-31,,
,,3131.5,1.63702E-31,,
,,3141,7.93395E-32,,
,,3150.5,3.83162E-32,,
,,3160,1.84387E-32,,
,,3169.5,8.84168E-33,,
,,3179,4.22469E-33,,
,,3188.5,2.01146E-33,,
,,3198,9.54299E-34,,
,,3207.5,4.51142E-34,,
,,3217,2.12519E-34,,
,,3226.5,9.97557E-35,,
,,3236,4.66589E-35,,
,,3245.5,2.17464E-35,,
,,3255,1.00994E-35,,
,,3264.5,4.67369E-36,,
,,3274,2.15517E-36,,
,,3283.5,9.90278E-37,,
,,3293,4.53409E-37,,
,,3302.5,2.06861E-37,,
,,3312,9.40422E-38,,
,,3321.5,4.26014E-38,,
,,3331,1.923E-38,,
,,3340.5,8.64954E-39,,
,,3350,3.87669E-39,,
,,3359.5,1.73135E-39,,
,,3369,7.70489E-40,,
,,3378.5,3.41667E-40,,
,,3388,1.50972E-40,,
,,3397.5,6.64729E-41,,
,,3407,2.91642E-41,,
,,3416.5,1.275E-41,,
,,3426,5.55427E-42,,
,,3435.5,2.41101E-42,,
,,3445,1.04287E-42,,
,,3454.5,4.49483E-43,,
,,3464,1.93043E-43,,
,,3473.5,8.26134E-44,,
,,3483,3.52292E-44,,
,,3492.5,1.49697E-44,,
,,3502,6.33836E-45,,
,,3511.5,2.67422E-45,,
,,3521,1.12428E-45,,
,,3530.5,4.70985E-46,,
,,3540,1.96606E-46,,
,,3549.5,8.17788E-47,,
,,3559,3.38955E-47,,
,,3568.5,1.39991E-47,,
,,3578,5.76118E-48,,
,,3587.5,2.36255E-48,,
,,3597,9.65395E-49,,
,,3606.5,3.93085E-49,,
,,3616,1.59486E-49,,
,,3625.5,6.44786E-50,,
,,3635,2.59756E-50,,
,,3644.5,1.04272E-50,,
,,3654,4.17091E-51,,
,,3663.5,1.66245E-51,,
,,3673,6.60268E-52,,
,,3682.5,2.61306E-52,,
,,3692,1.03047E-52,,
,,3701.5,4.04926E-53,,
,,3711,1.58552E-53,,
,,3720.5,6.18622E-54,,
,,3730,2.40511E-54,,
,,3739.5,9.3175E-55,,
,,3749,3.59683E-55,,
,,3758.5,1.38356E-55,,
,,3768,5.30311E-56,,
,,3777.5,2.02544E-56,,
,,3787,7.70841E-57,,
,,3796.5,2.92325E-57,,
,,3806,1.10465E-57,,
,,3815.5,4.15945E-58,,
,,3825,1.56065E-58,,
,,3834.5,5.8349E-59,,
,,3844,2.1738E-59,,
,,3853.5,8.07E-60,,
,,3863,2.985E-60,,
,,3872.5,1.1E-60,,
,,3882,4.04E-61,,
,,3891.5,1.48E-61,,
,,3901,5.4E-62,,
,,3910.5,2E-62,,
,,3920,7E-63,,
,,3929.5,3E-63,,
,,3939,1E-63,,
,,3948.5,0,,
,,3958,0,,
,,3967.5,0,,
,,3977,0,,
,,3986.5,0,,
,,3996,0,,
,,4005.5,0,,
,,4015,0,,
,,4024.5,0,,
,,4034,0,,
,,4043.5,0,,
,,4053,0,,
,,4062.5,0,,
,,4072,0,,
,,4081.5,0,,
,,4091,0,,
,,4100.5,0,,
,,4110,0,,
,,4119.5,0,,
,,4129,0,,
,,4138.5,0,,
,,4148,0,,
,,4157.5,0,,
,,4167,0,,
,,4176.5,0,,
,,4186,0,,
,,4195.5,0,,
,,4205,0,,
,,4214.5,0,,
,,4224,0,,
,,4233.5,0,,
,,4243,0,,
,,4252.5,0,,
,,4262,0,,
,,4271.5,0,,
,,4281,0,,
,,4290.5,0,,
,,4300,0,,
,,4309.5,0,,
,,4319,0,,
,,4328.5,0,,
,,4338,0,,
,,4347.5,0,,
,,4357,0,,
,,4366.5,0,,
,,4376,0,,
,,4385.5,0,,
,,4395,0,,
,,4404.5,0,,
,,4414,0,,
,,4423.5,0,,
,,4433,0,,
,,4442.5,0,,
,,4452,0,,
,,4461.5,0,,
,,4471,0,,
,,4480.5,0,,
,,4490,0,,
,,4499.5,0,,
,,4509,0,,
,,4518.5,0,,
,,4528,0,,
,,4537.5,0,,
,,4547,0,,
,,4556.5,0,,
,,4566,0,,
,,4575.5,0,,
,,4585,0,,
,,4594.5,0,,
,,4604,0,,
,,4613.5,0,,
,,4623,0,,
,,4632.5,0,,
,,4642,0,,
,,4651.5,0,,
,,4661,0,,
,,4670.5,0,,
,,4680,0,,
,,4689.5,0,,
,,4699,0,,
,,4708.5,0,,
,,4718,0,,
,,4727.5,0,,
,,4737,0,,
,,4746.5,0,,
,,4756,0,,
,,4765.5,0,,
,,4775,0,,
,,4784.5,0,,
,,4794,0,,
,,4803.5,0,,
,,4813,0,,
,,4822.5,0,,
,,4832,0,,
,,4841.5,0,,
,,4851,0,,
,,4860.5,0,,
,,4870,0,,
,,4879.5,0,,
,,4889,0,,
,,4898.5,0,,
,,4908,0,,
,,4917.5,0,,
,,4927,0,,
,,4936.5,0,,
,,4946,0,,
,,4955.5,0,,
,,4965,0,,
,,4974.5,0,,
,,4984,0,,
,,4993.5,0,,
,,5003,0,,
,,5012.5,0,,
,,5022,0,,
,,5031.5,0,,
,,5041,0,,
,,5050.5,0,,
,,5060,0,,
,,5069.5,0,,
,,5079,0,,
,,5088.5,0,,
,,5098,0,,
,,5107.5,0,,
,,5117,0,,
,,5126.5,0,,
,,5136,0,,
,,5145.5,0,,
,,5155,0,,
,,5164.5,0,,
,,5174,0,,
,,5183.5,0,,
,,5193,0,,
,,5202.5,0,,
,,5212,0,,
,,5221.5,0,,
,,5231,0,,
,,5240.5,0,,
,,5250,0,,
,,5259.5,0,,
,,5269,0,,
,,5278.5,0,,
,,5288,0,,
,,5297.5,0,,
,,5307,0,,
,,5316.5,0,,
,,5326,0,,
,,5335.5,0,,
,,5345,0,,
,,5354.5,0,,
,,5364,0,,
,,5373.5,0,,
,,5383,0,,
,,5392.5,0,,
,,5402,0,,
,,5411.5,0,,
,,5421,0,,
,,5430.5,0,,
,,5440,0,,
,,5449.5,0,,
,,5459,0,,
,,5468.5,0,,
,,5478,0,,
,,5487.5,0,,
,,5497,0,,
,,5506.5,0,,
,,5516,0,,
,,5525.5,0,,
,,5535,0,,
,,5544.5,0,,
,,5554,0,,
,,5563.5,0,,
,,5573,0,,
,,5582.5,0,,
,,5592,0,,
,,5601.5,0,,
,,5611,0,,
,,5620.5,0,,
,,5630,0,,
,,5639.5,0,,
,,5649,0,,
,,5658.5,0,,
,,5668,0,,
,,5677.5,0,,
,,5687,0,,
,,5696.5,0,,
,,5706,0,,
,,5715.5,0,,
,,5725,0,,
,,5734.5,0,,
,,5744,0,,
,,5753.5,0,,
,,5763,0,,
,,5772.5,0,,
,,5782,0,,
,,5791.5,0,,
,,5801,0,,
,,5810.5,0,,
,,5820,0,,
,,5829.5,0,,
,,5839,0,,
,,5848.5,0,,
,,5858,0,,
,,5867.5,0,,
,,5877,0,,
,,5886.5,0,,
,,5896,0,,
,,5905.5,0,,
,,5915,0,,
,,5924.5,0,,
,,5934,0,,
,,5943.5,0,,
,,5953,0,,
,,5962.5,0,,
,,5972,0,,
,,5981.5,0,,
,,5991,0,,
,,6000.5,0,,
,,6010,0,,
,,6019.5,0,,
,,6029,0,,
,,6038.5,0,,
,,6048,0,,
,,6057.5,0,,
,,6067,0,,
,,6076.5,0,,
,,6086,0,,
,,6095.5,0,,
,,6105,0,,
,,6114.5,0,,
,,6124,0,,
,,6133.5,0,,
,,6143,0,,
,,6152.5,0,,
,,6162,0,,
,,6171.5,0,,
,,6181,0,,
,,6190.5,0,,
,,6200,0,,
,,6209.5,0,,
,,6219,0,,
,,6228.5,0,,
,,6238,0,,
,,6247.5,0,,
,,6257,0,,
,,6266.5,0,,
,,6276,0,,
,,6285.5,0,,
,,6295,0,,
,,6304.5,0,,
,,6314,0,,
,,6323.5,0,,
,,6333,0,,
,,6342.5,0,,
,,6352,0,,
,,6361.5,0,,
,,6371,0,,
,,6380.5,0,,
,,6390,0,,
,,6399.5,0,,
,,6409,0,,
,,6418.5,0,,
,,6428,0,,
,,6437.5,0,,
,,6447,0,,
,,6456.5,0,,
,,6466,0,,
,,6475.5,0,,
,,6485,0,,
,,6494.5,0,,
,,6504,0,,
,,6513.5,0,,
,,6523,0,,
,,6532.5,0,,
,,6542,0,,
,,6551.5,0,,
,,6561,0,,
,,6570.5,0,,
,,6580,0,,
,,6589.5,0,,
,,6599,0,,
,,6608.5,0,,
,,6618,0,,
,,6627.5,0,,
,,6637,0,,
,,6646.5,0,,
,,6656,0,,
,,6665.5,0,,
,,6675,0,,
,,6684.5,0,,
,,6694,0,,
,,6703.5,0,,
,,6713,0,,
,,6722.5,0,,
,,6732,0,,
,,6741.5,0,,
,,6751,0,,
,,6760.5,0,,
,,6770,0,,
,,6779.5,0,,
,,6789,0,,
,,6798.5,0,,
,,6808,0,,
,,6817.5,0,,
,,6827,0,,
,,6836.5,0,,
,,6846,0,,
,,6855.5,0,,
,,6865,0,,
,,6874.5,0,,
,,6884,0,,
,,6893.5,0,,
,,6903,0,,
,,6912.5,0,,
,,6922,0,,
,,6931.5,0,,
,,6941,0,,
,,6950.5,0,,
,,6960,0,,
,,6969.5,0,,
,,6979,0,,
,,6988.5,0,,
,,6998,0,,
,,7007.5,0,,
,,7017,0,,
,,7026.5,0,,
,,7036,0,,
,,7045.5,0,,
,,7055,0,,
,,7064.5,0,,
,,7074,0,,
,,7083.5,0,,
,,7093,0,,
,,7102.5,0,,
,,7112,0,,
,,7121.5,0,,
,,7131,0,,
,,7140.5,0,,
,,7150,0,,
,,7159.5,0,,
,,7169,0,,
,,7178.5,0,,
,,7188,0,,
,,7197.5,0,,
,,7207,0,,
,,7216.5,0,,
,,7226,0,,
,,7235.5,0,,
,,7245,0,,
,,7254.5,0,,
