Frequency [Hz] - Fit Points,Amplitude - Fit Points,Frequency [Hz] - Fit Curve,Amplitude - Fit Curve,Frequency [Hz] - Histogram,Amplitude - Histogram
1615.757,1.37477,500,7.58553E-16,1615.757,3
1674.157,2.6304,509.5,1.22776E-15,1644.957,0
1703.356,3.48048,519,1.98098E-15,1674.157,4
1732.556,4.47099,528.5,3.1863E-15,1703.356,1
1761.756,5.57589,538,5.10896E-15,1732.556,8
1790.955,6.75107,547.5,8.16617E-15,1761.756,9
1820.155,7.93557,557,1.3012E-14,1790.955,9
1849.354,9.05588,566.5,2.06685E-14,1820.155,9
1878.554,10.033,576,3.27275E-14,1849.354,19
1907.754,10.7914,585.5,5.16602E-14,1878.554,19
1936.953,11.2686,595,8.12904E-14,1907.754,11
1966.153,11.4238,604.5,1.27515E-13,1936.953,18
1995.353,11.2435,614,1.994E-13,1966.153,10
2024.552,10.7432,623.5,3.10832E-13,1995.353,16
2053.752,9.96592,633,4.83022E-13,2024.552,14
2082.952,8.97525,642.5,7.48252E-13,2053.752,7
2112.151,7.84735,652,1.1555E-12,2082.952,9
2141.351,6.66111,661.5,1.7788E-12,2112.151,10
2170.551,5.48931,671,2.72978E-12,2141.351,7
2199.75,4.39173,680.5,4.17605E-12,2170.551,5
2228.95,3.41115,690,6.36861E-12,2199.75,3
2258.15,2.57224,699.5,9.68194E-12,2228.95,4
2287.349,1.88309,709,1.4673E-11,2258.15,7
2316.549,1.33837,718.5,2.21675E-11,2287.349,3
2345.749,0.923488,728,3.33851E-11,2316.549,2
2374.948,0.618631,737.5,5.01221E-11,2345.749,4
2433.347,0.254024,747,7.50144E-11,2374.948,2
2462.547,0.15571,756.5,1.11918E-10,2404.148,0
2550.146,0.0300278,766,1.66454E-10,2433.347,2
2754.544,0.000228995,775.5,2.4679E-10,2462.547,1
,,785,3.64755E-10,2491.747,1
,,794.5,5.37421E-10,2520.946,0
,,804,7.89346E-10,2550.146,2
,,813.5,1.15574E-09,2579.346,0
,,823,1.68691E-09,2608.545,0
,,832.5,2.4545E-09,2637.745,0
,,842,3.56019E-09,2666.945,0
,,851.5,5.14782E-09,2696.144,0
,,861,7.42015E-09,2725.344,0
,,870.5,1.06621E-08,2754.544,1
,,880,1.52725E-08,,
,,889.5,2.18082E-08,,
,,899,3.10432E-08,,
,,908.5,4.40508E-08,,
,,918,6.23133E-08,,
,,927.5,8.78713E-08,,
,,937,1.23524E-07,,
,,946.5,1.731E-07,,
,,956,2.41815E-07,,
,,965.5,3.3675E-07,,
,,975,4.67489E-07,,
,,984.5,6.46956E-07,,
,,994,8.9252E-07,,
,,1003.5,1.22744E-06,,
,,1013,1.68276E-06,,
,,1022.5,2.29977E-06,,
,,1032,3.13318E-06,,
,,1041.5,4.25525E-06,,
,,1051,5.7611E-06,,
,,1060.5,7.77544E-06,,
,,1070,1.04613E-05,,
,,1079.5,1.40308E-05,,
,,1089,1.87595E-05,,
,,1098.5,2.50034E-05,,
,,1108,3.32212E-05,,
,,1117.5,0.000044002,,
,,1127,0.000058099,,
,,1136.5,7.64723E-05,,
,,1146,0.000100341,,
,,1155.5,0.000131249,,
,,1165,0.000171139,,
,,1174.5,0.000222455,,
,,1184,0.000288254,,
,,1193.5,0.000372348,,
,,1203,0.00047947,,
,,1212.5,0.000615478,,
,,1222,0.000787597,,
,,1231.5,0.0010047,,
,,1241,0.00127763,,
,,1250.5,0.00161963,,
,,1260,0.00204675,,
