Frequency [Hz] - Fit Points,Amplitude - Fit Points,Frequency [Hz] - Fit Curve,Amplitude - Fit Curve,Frequency [Hz] - Histogram,Amplitude - Histogram
584.05,0,500,0,584.05,8
3695.177,1.41668,508,0,691.331,0
3802.457,6.60329,516,0,798.611,0
3909.737,21.6801,524,0,905.891,0
4017.018,50.1386,532,0,1013.171,0
4124.298,81.6763,540,0,1120.451,0
4231.578,93.7197,548,0,1227.732,0
4338.858,75.7491,556,0,1335.012,0
4446.138,43.1256,564,0,1442.292,0
4553.419,17.2944,572,0,1549.572,0
4660.699,4.88524,580,0,1656.853,0
4767.979,0.972028,588,0,1764.133,0
,,596,0,1871.413,0
,,604,0,1978.693,0
,,612,0,2085.974,0
,,620,0,2193.254,0
,,628,0,2300.534,0
,,636,0,2407.814,0
,,644,0,2515.094,0
,,652,0,2622.375,0
,,660,0,2729.655,0
,,668,0,2836.935,0
,,676,0,2944.215,0
,,684,0,3051.496,0
,,692,0,3158.776,0
,,700,0,3266.056,0
,,708,0,3373.336,0
,,716,0,3480.616,0
,,724,0,3587.897,0
,,732,0,3695.177,2
,,740,0,3802.457,7
,,748,0,3909.737,27
,,756,0,4017.018,68
,,764,0,4124.298,98
,,772,0,4231.578,115
,,780,0,4338.858,75
,,788,0,4446.138,54
,,796,0,4553.419,33
,,804,0,4660.699,14
,,812,0,4767.979,8
,,820,0,,
,,828,0,,
,,836,0,,
,,844,0,,
,,852,0,,
,,860,0,,
,,868,0,,
,,876,0,,
,,884,0,,
,,892,0,,
,,900,0,,
,,908,0,,
,,916,0,,
,,924,0,,
,,932,0,,
,,940,0,,
,,948,0,,
,,956,0,,
,,964,0,,
,,972,0,,
,,980,0,,
,,988,0,,
,,996,0,,
,,1004,0,,
,,1012,0,,
,,1020,0,,
,,1028,0,,
,,1036,0,,
,,1044,0,,
,,1052,0,,
,,1060,0,,
,,1068,0,,
,,1076,0,,
,,1084,1E-63,,
,,1092,2E-63,,
,,1100,4E-63,,
,,1108,9E-63,,
,,1116,1.9E-62,,
,,1124,3.9E-62,,
,,1132,8.4E-62,,
,,1140,1.78E-61,,
,,1148,3.76E-61,,
,,1156,7.94E-61,,
,,1164,1.673E-60,,
,,1172,3.518E-60,,
,,1180,7.384E-60,,
,,1188,1.5468E-59,,
,,1196,3.2342E-59,,
,,1204,6.7492E-59,,
,,1212,1.40569E-58,,
,,1220,2.92199E-58,,
,,1228,6.06208E-58,,
,,1236,1.25521E-57,,
,,1244,2.59399E-57,,
,,1252,5.35023E-57,,
,,1260,1.10136E-56,,
,,1268,2.26277E-56,,
,,1276,4.63987E-56,,
,,1284,9.49565E-56,,
,,1292,1.93953E-55,,
,,1300,3.95388E-55,,
,,1308,8.04458E-55,,
,,1316,1.63357E-54,,
,,1324,3.31073E-54,,
,,1332,6.69677E-54,,
,,1340,1.35195E-53,,
,,1348,2.72401E-53,,
,,1356,5.47785E-53,,
,,1364,1.09943E-52,,
,,1372,2.20229E-52,,
,,1380,4.4029E-52,,
,,1388,8.78528E-52,,
,,1396,1.74955E-51,,
,,1404,3.47737E-51,,
,,1412,6.89808E-51,,
,,1420,1.36571E-50,,
,,1428,2.69864E-50,,
,,1436,5.32212E-50,,
,,1444,1.04756E-49,,
,,1452,2.0579E-49,,
,,1460,4.03482E-49,,
,,1468,7.89547E-49,,
,,1476,1.542E-48,,
,,1484,3.00571E-48,,
,,1492,5.84739E-48,,
,,1500,1.13535E-47,,
,,1508,2.20015E-47,,
,,1516,4.25529E-47,,
,,1524,8.21408E-47,,
,,1532,1.5825E-46,,
,,1540,3.04285E-46,,
,,1548,5.83944E-46,,
,,1556,1.11845E-45,,
,,1564,2.13803E-45,,
,,1572,4.07912E-45,,
,,1580,7.76733E-45,,
,,1588,1.47615E-44,,
,,1596,2.79991E-44,,
,,1604,5.30043E-44,,
,,1612,1.00146E-43,,
,,1620,1.88845E-43,,
,,1628,3.55414E-43,,
,,1636,6.67599E-43,,
,,1644,1.25156E-42,,
,,1652,2.34175E-42,,
,,1660,4.37304E-42,,
,,1668,8.15042E-42,,
,,1676,1.51611E-41,,
,,1684,2.81471E-41,,
,,1692,5.21545E-41,,
,,1700,9.64501E-41,,
,,1708,1.7802E-40,,
,,1716,3.27934E-40,,
,,1724,6.02919E-40,,
,,1732,1.10633E-39,,
,,1740,2.02612E-39,,
,,1748,3.70338E-39,,
,,1756,6.75594E-39,,
,,1764,1.23006E-38,,
,,1772,2.23523E-38,,
,,1780,4.05387E-38,,
,,1788,7.3379E-38,,
,,1796,1.32565E-37,,
,,1804,2.39022E-37,,
,,1812,4.30131E-37,,
,,1820,7.72533E-37,,
,,1828,1.3848E-36,,
,,1836,2.47749E-36,,
,,1844,4.42375E-36,,
,,1852,7.88355E-36,,
,,1860,1.40219E-35,,
,,1868,2.48912E-35,,
,,1876,4.41001E-35,,
,,1884,7.79805E-35,,
,,1892,1.37621E-34,,
,,1900,2.42404E-34,,
,,1908,4.26135E-34,,
,,1916,7.47668E-34,,
,,1924,1.30925E-33,,
,,1932,2.28819E-33,,
,,1940,3.99131E-33,,
,,1948,6.9485E-33,,
,,1956,1.20732E-32,,
,,1964,2.09365E-32,,
,,1972,3.62361E-32,,
,,1980,6.2594E-32,,
,,1988,1.07914E-31,,
,,1996,1.85685E-31,,
,,2004,3.18881E-31,,
,,2012,5.46555E-31,,
,,2020,9.34961E-31,,
,,2028,1.59627E-30,,
,,2036,2.72003E-30,,
,,2044,4.62588E-30,,
,,2052,7.85178E-30,,
,,2060,1.33014E-29,,
,,2068,2.24894E-29,,
,,2076,3.79501E-29,,
,,2084,6.3915E-29,,
,,2092,1.07435E-28,,
,,2100,1.80236E-28,,
,,2108,3.01781E-28,,
,,2116,5.04308E-28,,
,,2124,8.41112E-28,,
,,2132,1.40012E-27,,
,,2140,2.32611E-27,,
,,2148,3.85699E-27,,
,,2156,6.38295E-27,,
,,2164,1.05426E-26,,
,,2172,1.73791E-26,,
,,2180,2.85931E-26,,
,,2188,4.69513E-26,,
,,2196,7.69465E-26,,
,,2204,1.25859E-25,,
,,2212,2.05462E-25,,
,,2220,3.3476E-25,,
,,2228,5.44365E-25,,
,,2236,8.83485E-25,,
,,2244,1.43108E-24,,
,,2252,2.31355E-24,,
,,2260,3.73293E-24,,
,,2268,6.01138E-24,,
,,2276,9.66167E-24,,
,,2284,1.54983E-23,,
,,2292,2.48124E-23,,
,,2300,3.96468E-23,,
,,2308,6.32268E-23,,
,,2316,1.00635E-22,,
